Plot Title: Marthas_120,,
,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 20495262, SEN S/N: 20495262)"
,,
12267,7/1/22 0:00,28.841
,,
12268,7/1/22 0:30,28.841
,,
12269,7/1/22 1:00,28.891
,,
12270,7/1/22 1:30,28.916
,,
12271,7/1/22 2:00,28.941
,,
12272,7/1/22 2:30,28.965
,,
12273,7/1/22 3:00,28.916
,,
12274,7/1/22 3:30,28.941
,,
12275,7/1/22 4:00,28.916
,,
12276,7/1/22 4:30,28.916
,,
12277,7/1/22 5:00,28.866
,,
12278,7/1/22 5:30,28.891
,,
12279,7/1/22 6:00,28.866
,,
12280,7/1/22 6:30,28.891
,,
12281,7/1/22 7:00,28.916
,,
12282,7/1/22 7:30,28.891
,,
12283,7/1/22 8:00,28.891
,,
12284,7/1/22 8:30,28.866
,,
12285,7/1/22 9:00,28.916
,,
12286,7/1/22 9:30,28.891
,,
12287,7/1/22 10:00,28.891
,,
12288,7/1/22 10:30,28.866
,,
12289,7/1/22 11:00,28.916
,,
12290,7/1/22 11:30,28.916
,,
12291,7/1/22 12:00,28.468
,,
12292,7/1/22 12:30,28.617
,,
12293,7/1/22 13:00,28.642
,,
12294,7/1/22 13:30,28.891
,,
12295,7/1/22 14:00,28.866
,,
12296,7/1/22 14:30,28.667
,,
12297,7/1/22 15:00,28.916
,,
12298,7/1/22 15:30,28.916
,,
12299,7/1/22 16:00,29.015
,,
12300,7/1/22 16:30,29.015
,,
12301,7/1/22 17:00,28.99
,,
12302,7/1/22 17:30,28.99
,,
12303,7/1/22 18:00,28.965
,,
12304,7/1/22 18:30,28.965
,,
12305,7/1/22 19:00,28.965
,,
12306,7/1/22 19:30,28.941
,,
12307,7/1/22 20:00,28.99
,,
12308,7/1/22 20:30,29.015
,,
12309,7/1/22 21:00,29.09
,,
12310,7/1/22 21:30,29.065
,,
12311,7/1/22 22:00,29.115
,,
12312,7/1/22 22:30,29.015
,,
12313,7/1/22 23:00,28.965
,,
12314,7/1/22 23:30,29.015
,,
12315,7/2/22 0:00,29.09
,,
12316,7/2/22 0:30,29.14
,,
12317,7/2/22 1:00,28.841
,,
12318,7/2/22 1:30,28.891
,,
12319,7/2/22 2:00,28.941
,,
12320,7/2/22 2:30,28.916
,,
12321,7/2/22 3:00,28.99
,,
12322,7/2/22 3:30,29.04
,,
12323,7/2/22 4:00,29.065
,,
12324,7/2/22 4:30,29.065
,,
