Coral.number,Treatment,Location,Corallite.Diameter.mm,Polyp.density.4_95^2mm
25,SD,CC,0.9,16
25,SD,CC,0.87,
25,SD,CC,1.02,
25,SD,CC,1.08,
25,SD,CC,0.89,
25,SD,CC,0.86,
35,SS,CC,1,12
35,SS,CC,0.98,
35,SS,CC,1.06,
35,SS,CC,1.07,
35,SS,CC,0.91,
35,SS,CC,0.82,
35,SS,CC,1,
35,SS,CC,1.09,
71,SD,CC,1.3,7
71,SD,CC,1.15,
71,SD,CC,1.22,
71,SD,CC,1.26,
71,SD,CC,1.02,
71,SD,CC,1.16,
95,DS,CC,1.08,11
95,DS,CC,0.99,
95,DS,CC,0.97,
95,DS,CC,0.97,
95,DS,CC,1.07,
95,DS,CC,0.96,
95,DS,CC,1.15,
95,DS,CC,1.05,
38,SS,CC,1.03,11
38,SS,CC,1.04,
38,SS,CC,1.11,
38,SS,CC,1.14,
38,SS,CC,1.19,
38,SS,CC,1.03,
38,SS,CC,1.24,
38,SS,CC,1.34,
39,SS,CC,1.44,9
39,SS,CC,1.1,
39,SS,CC,1.04,
39,SS,CC,1.21,
39,SS,CC,1.15,
39,SS,CC,1.09,
39,SS,CC,1.14,
73,SD,CC,1.09,10
73,SD,CC,1.1,
73,SD,CC,0.99,
73,SD,CC,0.95,
73,SD,CC,0.99,
73,SD,CC,1.04,
73,SD,CC,0.94,
83,DD,CC,1.18,8
83,DD,CC,1.14,
83,DD,CC,1.07,
83,DD,CC,1.06,
83,DD,CC,1.18,
83,DD,CC,1.12,
83,DD,CC,1.14,
83,DD,CC,1.08,
86,DS,CC,0.96,11
86,DS,CC,1.17,
86,DS,CC,1.08,
86,DS,CC,1.05,
86,DS,CC,1.18,
86,DS,CC,1,
86,DS,CC,1.22,
86,DS,CC,1.1,
90,DD,CC,1.3,9
90,DD,CC,1.11,
90,DD,CC,1.14,
90,DD,CC,1.08,
90,DD,CC,1.02,
90,DD,CC,1.12,
90,DD,CC,1.15,
94,DD,CC,1.21,11
94,DD,CC,1.19,
94,DD,CC,1.02,
94,DD,CC,1.07,
94,DD,CC,1.03,
94,DD,CC,1.07,
94,DD,CC,0.99,
65,SS,MF,1.21,11
65,SS,MF,1.22,
65,SS,MF,1.22,
65,SS,MF,1.18,
65,SS,MF,1.38,
65,SS,MF,1.42,
63,SS,MF,1.14,9
63,SS,MF,1.13,
63,SS,MF,1.03,
63,SS,MF,1.2,
63,SS,MF,1.28,
63,SS,MF,1.31,
61,SS,MF,1.42,10
61,SS,MF,1.16,
61,SS,MF,1.18,
61,SS,MF,1.16,
61,SS,MF,1.29,
61,SS,MF,1.12,
61,SS,MF,1.35,
61,SS,MF,1.2,
54,DS,MF,0.96,12
54,DS,MF,0.91,
54,DS,MF,0.88,
54,DS,MF,0.85,
54,DS,MF,0.91,
54,DS,MF,0.98,
54,DS,MF,1.01,
54,DS,MF,0.94,
54,DS,MF,0.84,
52,DS,MF,0.98,16
52,DS,MF,1.02,
52,DS,MF,1.08,
52,DS,MF,0.94,
52,DS,MF,0.93,
52,DS,MF,0.93,
52,DS,MF,1.12,
52,DS,MF,0.91,
50,DS,MF,1.39,9
50,DS,MF,1.25,
50,DS,MF,1.32,
50,DS,MF,1.38,
50,DS,MF,1.25,
50,DS,MF,1.7,
50,DS,MF,1.26,
48,SD,MF,1.33,12
48,SD,MF,0.93,
48,SD,MF,1.04,
48,SD,MF,1.02,
48,SD,MF,1.17,
48,SD,MF,1.04,
48,SD,MF,0.96,
48,SD,MF,1.11,
46,SD,MF,1.19,10
46,SD,MF,1.05,
46,SD,MF,1.2,
46,SD,MF,1.05,
46,SD,MF,1.04,
46,SD,MF,1.18,
46,SD,MF,1.2,
40,SD,MF,1.24,8
40,SD,MF,1.19,
40,SD,MF,1.07,
40,SD,MF,1.07,
40,SD,MF,1.1,
40,SD,MF,1.05,
40,SD,MF,1.09,
30,DD,MF,1.31,9
30,DD,MF,1.24,
30,DD,MF,1.29,
30,DD,MF,1.22,
30,DD,MF,1.1,
30,DD,MF,1.19,
30,DD,MF,1.07,
30,DD,MF,0.94,
29,DD,MF,1.31,11
29,DD,MF,1.14,
29,DD,MF,1.07,
29,DD,MF,1.04,
29,DD,MF,1.11,
29,DD,MF,1.21,
29,DD,MF,1.07,
27,DD,MF,0.91,15
27,DD,MF,1.2,
27,DD,MF,0.97,
27,DD,MF,1,
27,DD,MF,1.06,
27,DD,MF,0.95,
27,DD,MF,0.9,
27,DD,MF,0.98,
99,DS,CC,1.34,9
99,DS,CC,1.06,
99,DS,CC,1.2,
99,DS,CC,1.16,
99,DS,CC,1.03,
99,DS,CC,1.08,
99,DS,CC,1.06,
