Coral.number,Treatment,Location,Corallite.Diameter.mm
65,SS,MF,1.06
65,SS,MF,1.04
65,SS,MF,1.49
65,SS,MF,1.36
65,SS,MF,1.28
65,SS,MF,1.09
63,SS,MF,1.21
63,SS,MF,1.22
63,SS,MF,1.11
63,SS,MF,1.24
63,SS,MF,1.16
63,SS,MF,1.29
61,SS,MF,1.2
61,SS,MF,1.02
61,SS,MF,1.02
61,SS,MF,1.14
61,SS,MF,1.07
61,SS,MF,1.1
61,SS,MF,0.92
61,SS,MF,0.93
54,DS,MF,1.16
54,DS,MF,1.32
54,DS,MF,1.23
54,DS,MF,1.47
54,DS,MF,1.31
54,DS,MF,1.18
54,DS,MF,1.3
54,DS,MF,1.45
54,DS,MF,1.15
54,DS,MF,1.18
52,DS,MF,1.06
52,DS,MF,0.97
52,DS,MF,0.99
52,DS,MF,1.19
52,DS,MF,1.16
52,DS,MF,1.05
52,DS,MF,1.16
52,DS,MF,1.07
50,DS,MF,1.33
50,DS,MF,1.2
50,DS,MF,1.23
50,DS,MF,1.25
50,DS,MF,1.28
50,DS,MF,1.41
50,DS,MF,1.26
48,SD,MF,1.02
48,SD,MF,1.17
48,SD,MF,1.01
48,SD,MF,1.05
48,SD,MF,0.99
48,SD,MF,1.05
46,SD,MF,1.12
46,SD,MF,1.13
46,SD,MF,1.02
46,SD,MF,0.98
46,SD,MF,1.01
46,SD,MF,1.02
46,SD,MF,0.99
46,SD,MF,1.44
46,SD,MF,1.27
46,SD,MF,1.1
46,SD,MF,1.23
40,SD,MF,1.09
40,SD,MF,1.02
40,SD,MF,1.07
40,SD,MF,1.02
40,SD,MF,1.15
40,SD,MF,1.07
30,DD,MF,1.64
30,DD,MF,1.43
30,DD,MF,1.62
30,DD,MF,1.44
30,DD,MF,1.22
30,DD,MF,1.29
29,DD,MF,1.52
29,DD,MF,1.4
29,DD,MF,1.22
29,DD,MF,1.6
29,DD,MF,1.3
29,DD,MF,1.34
29,DD,MF,1.6
27,DD,MF,0.92
27,DD,MF,0.94
27,DD,MF,1.04
27,DD,MF,1.15
27,DD,MF,1.01
27,DD,MF,1.01
27,DD,MF,1.02
25,SD,CC,1.03
25,SD,CC,1.17
25,SD,CC,1.17
25,SD,CC,1.1
25,SD,CC,1.13
25,SD,CC,1.14
35,SS,CC,1.02
35,SS,CC,1.14
35,SS,CC,1.02
35,SS,CC,1.3
35,SS,CC,1.24
35,SS,CC,1.16
71,SD,CC,1.51
71,SD,CC,1.45
71,SD,CC,1.38
71,SD,CC,1.27
71,SD,CC,1.36
71,SD,CC,1.46
71,SD,CC,1.33
95,DS,CC,1.17
95,DS,CC,1.12
95,DS,CC,1.02
95,DS,CC,0.91
95,DS,CC,1.06
95,DS,CC,0.99
38,SS,CC,1.07
38,SS,CC,1.15
38,SS,CC,1.19
38,SS,CC,1.14
38,SS,CC,1.1
38,SS,CC,1.21
39,SS,CC,1.2
39,SS,CC,1.07
39,SS,CC,1.24
39,SS,CC,1.23
39,SS,CC,1.17
39,SS,CC,1.15
73,SD,CC,1.02
73,SD,CC,1.07
73,SD,CC,1.13
73,SD,CC,1.19
73,SD,CC,0.95
73,SD,CC,0.95
83,DD,CC,1.09
83,DD,CC,1.3
83,DD,CC,1
83,DD,CC,1
83,DD,CC,1.22
83,DD,CC,1.02
86,DS,CC,1.32
86,DS,CC,1.24
86,DS,CC,1.17
86,DS,CC,1.21
86,DS,CC,1.16
86,DS,CC,1.14
90,DD,CC,1.35
90,DD,CC,1.1
90,DD,CC,1.42
90,DD,CC,1.21
90,DD,CC,1.27
90,DD,CC,1.33
94,DD,CC,1.02
94,DD,CC,1.24
94,DD,CC,1.24
94,DD,CC,1.31
94,DD,CC,1.12
94,DD,CC,1.19
99,DS,CC,0.94
99,DS,CC,1.04
99,DS,CC,0.77
99,DS,CC,0.93
99,DS,CC,1.01
99,DS,CC,1.1
