FID1	ID1	FID2	ID2	NSNP	HETHET	IBS0	KINSHIP
102-CC-DD-82	102-CC-DD-82	100-CC-SD-73	100-CC-SD-73	646	0.143963	0.0990712	-0.0988636
108-CC-DD-94	108-CC-DD-94	100-CC-SD-73	100-CC-SD-73	646	0.159443	0.0835913	-0.0452489
108-CC-DD-94	108-CC-DD-94	102-CC-DD-82	102-CC-DD-82	2980	0.160067	0.0885906	-0.0441176
114-MF-SD-45	114-MF-SD-45	100-CC-SD-73	100-CC-SD-73	767	0.148631	0.196871	-0.424797
114-MF-SD-45	114-MF-SD-45	102-CC-DD-82	102-CC-DD-82	4569	0.151893	0.136573	-0.165735
114-MF-SD-45	114-MF-SD-45	108-CC-DD-94	108-CC-DD-94	3147	0.145218	0.146489	-0.208519
117-MF-SD-44	117-MF-SD-44	100-CC-SD-73	100-CC-SD-73	762	0.153543	0.188976	-0.384073
117-MF-SD-44	117-MF-SD-44	102-CC-DD-82	102-CC-DD-82	4332	0.147045	0.148661	-0.22233
117-MF-SD-44	117-MF-SD-44	108-CC-DD-94	108-CC-DD-94	2765	0.14792	0.156239	-0.24244
117-MF-SD-44	117-MF-SD-44	114-MF-SD-45	114-MF-SD-45	7849	0.328067	0.00191107	0.38882
123-CC-DD-81	123-CC-DD-81	100-CC-SD-73	100-CC-SD-73	719	0.139082	0.180807	-0.384199
123-CC-DD-81	123-CC-DD-81	102-CC-DD-82	102-CC-DD-82	5718	0.145855	0.14603	-0.231426
123-CC-DD-81	123-CC-DD-81	108-CC-DD-94	108-CC-DD-94	3361	0.135971	0.151741	-0.261204
123-CC-DD-81	123-CC-DD-81	114-MF-SD-45	114-MF-SD-45	8480	0.258255	0.0150943	0.272949
123-CC-DD-81	123-CC-DD-81	117-MF-SD-44	117-MF-SD-44	9305	0.236002	0.0203117	0.237919
23-MF10-1a	23-MF10-1a	100-CC-SD-73	100-CC-SD-73	760	0.135526	0.178947	-0.398536
