id,condition,replicate,RIN,site,origin,group,translocation,month
117-MF-SD-44,SD,rep3,7,MF,18,S,T,Jul
98-MF-SS-69,SS,rep5,7.6,MF,18,S,C ,Jul
42-MF10-10b,S,rep5,8.5,MF,15,S,C ,Nov
114-MF-SD-45,SD,rep2,7.8,MF,15,S,T,Jul
97-MF-SS-64,SS,rep4,7.3,MF,15,S,C ,Jul
4-MF10-4a,S,rep4,7.5,MF,14,S,C ,Nov
99-MF-SD-43,SD,rep4,4.1,MF,14,S,T,Jul
28-CC10-9b,S,rep2,8.3,CC,12,S,C ,Nov
73-CC-SS-38,SS,rep2,7.7,CC,12,S,C ,Jul
75-CC-DD-84,DD,rep4,5.6,CC,9,D,C ,Jul
91-CC-DS-89,DS,rep5,6.3,CC,9,D,T,Jul
102-CC-DD-82,DD,rep1,6.4,CC,7,D,C ,Jul
81-CC-DS-87,DS,rep4,7.4,CC,7,D,T,Jul
25-CC40-2b,D,rep6,8.2,CC,6,D,C ,Nov
123-CC-DD-81,DD,rep3,7.6,CC,6,D,C ,Jul
80-1-CC-DS-86,DS,rep3,8.2,CC,6,D,T,Jul
49-CC40-1b,D,rep5,8.3,CC,5,D,C ,Nov
84-CC-DD-80,DD,rep5,8,CC,5,D,C ,Jul
31-MF40-5b,D,rep2,7.6,MF,2,D,C ,Nov
78-MF-DS-54,DS,rep2,6.1,MF,2,D,T,Jul
