id,condition,replicate,RIN,site,origin,batch,ind.n,group,translocation,month,origin_depth,transplant_depth,RIN2,rRNA
100-CC-SD-73,SD,rep1,5.3,CC,17,1,7,S,T,Jul,S,D,3,2
102-CC-DD-82,DD,rep1,6.4,CC,7,1,7,D,C ,Jul,D,D,2,2
108-CC-DD-94,DD,rep2,8.7,CC,8,1,8,D,C ,Jul,D,D,1,3
114-MF-SD-45,SD,rep2,7.8,MF,15,1,5,S,T,Jul,S,D,2,1
117-MF-SD-44,SD,rep3,7,MF,18,1,8,S,T,Jul,S,D,2,1
123-CC-DD-81,DD,rep3,7.6,CC,6,1,6,D,C ,Jul,D,D,2,1
63-MF-SS-60,SS,rep1,7.6,MF,19,1,9,S,C ,Jul,S,S,2,1
66-MF-DS-52,DS,rep1,6.1,MF,10,1,10,D,T,Jul,D,S,2,4
73-CC-SS-38,SS,rep2,7.7,CC,12,1,2,S,C ,Jul,S,S,2,4
75-CC-DD-84,DD,rep4,5.6,CC,9,1,9,D,C ,Jul,D,D,3,1
78-MF-DS-54,DS,rep2,6.1,MF,2,1,2,D,T,Jul,D,S,2,3
80-1-CC-DS-86,DS,rep3,8.2,CC,6,2,6,D,T,Jul,D,S,1,1
81-CC-DS-87,DS,rep4,7.4,CC,7,1,7,D,T,Jul,D,S,2,3
84-CC-DD-80,DD,rep5,8,CC,5,1,5,D,C ,Jul,D,D,1,3
91-CC-DS-89,DS,rep5,6.3,CC,9,1,9,D,T,Jul,D,S,2,4
94-CC-SS-37,SS,rep3,5.1,CC,20,1,10,S,C ,Jul,S,S,3,3
97-MF-SS-64,SS,rep4,7.3,MF,15,1,5,S,C ,Jul,S,S,2,2
98-MF-SS-69,SS,rep5,7.6,MF,18,1,8,S,C ,Jul,S,S,2,3
99-MF-SD-43,SD,rep4,4.1,MF,14,1,4,S,T,Jul,S,D,3,1
