"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Expression"
"Pastreoides43684",85.7695204537679,7.85140593818475,1.25372269597553,6.26247412078278,3.78916776937092e-10,3.98052074172415e-06,"Upregulated"
"Pastreoides23848",99.2724219143413,-7.942795397993,1.51091278223368,-5.25695161983517,1.46462822399882e-07,0.000769295974655382,"Downregulated"
"Pastreoides05711",127.223604131998,4.47991139870138,0.905858237846772,4.94548839049049,7.59531972434071e-07,0.00265962779013997,"Upregulated"
"Pastreoides44560",920.560005750223,-5.82078459569337,1.25684454796551,-4.63126852490678,3.63432157837646e-06,0.00954463704521116,"Downregulated"
"Pastreoides47726",72.1434782692813,6.81556082737489,1.53424818572512,4.44228051940222,8.90104096516284e-06,0.0187010870678071,"Upregulated"
"Pastreoides33325",250.628813469218,4.99099664353476,1.21718981533596,4.10042589960151,4.12390471642996e-05,0.0618880272087097,"Upregulated"
"Pastreoides36129",77.8083707292976,-3.74740252899444,0.910917033156438,-4.11387908293825,3.89065287344045e-05,0.0618880272087097,"Downregulated"
"Pastreoides15340",141.176669725101,5.13015102333469,1.32348909945835,3.87623216952391,0.000106086463822682,0.0742958868304852,"Upregulated"
"Pastreoides18224",67.8993496630426,5.7748918523318,1.4628733202601,3.9476363211717,7.89265779788297e-05,0.0742958868304852,"Upregulated"
"Pastreoides42533",882.551445338865,-20.8339278668793,5.22420570691144,-3.98796085677039,6.66436560308432e-05,0.0742958868304852,"Downregulated"
"Pastreoides02822",58.1923276002877,4.7640235388748,1.2227310295943,3.89621545832161,9.77074756703745e-05,0.0742958868304852,"Upregulated"
"Pastreoides23786",64.1652493189862,4.72506508827411,1.20866042967125,3.90934043365621,9.25484633236348e-05,0.0742958868304852,"Upregulated"
"Pastreoides09408",190.45621877428,-4.08709015475438,1.05065850816579,-3.8900271810386,0.000100232994328974,0.0742958868304852,"Downregulated"
"Pastreoides25033",50.2611050281486,4.81981922664819,1.22770317600928,3.92588316201582,8.64120952316315e-05,0.0742958868304852,"Upregulated"
"Pastreoides44884",65.8539365406373,4.30878707222343,1.07333694895394,4.01438437055828,5.96011528878009e-05,0.0742958868304852,"Upregulated"
"Pastreoides22874",537.216665804446,-3.41216249735279,0.884292342454361,-3.85863626035967,0.00011402149045213,0.0744948234328658,"Downregulated"
"Pastreoides25178",82.6930477707581,-3.41225964051055,0.887454128416808,-3.84499832864367,0.000120553260195975,0.0744948234328658,"Downregulated"
"Pastreoides23846",113.617866378607,-4.20665251169292,1.10995028556065,-3.78994678087595,0.000150679564264805,0.0782901825645946,"Downregulated"
"Pastreoides29707",108.524059382551,4.64182171259692,1.23983954501816,3.74388906310367,0.000181193679293732,0.0782901825645946,"Upregulated"
"Pastreoides57684",68.7128302710126,-4.42955115243561,1.16217622221359,-3.81142813608651,0.000138166225214736,0.0782901825645946,"Downregulated"
"Pastreoides22352",87.8718302512311,4.33780979899088,1.16388644034758,3.72700432672406,0.000193769133429744,0.0782901825645946,"Upregulated"
"Pastreoides02468",119.362580707317,4.65611049014937,1.23193815700152,3.77950018325769,0.000157143477722311,0.0782901825645946,"Upregulated"
"Pastreoides38471",52.1089415753916,-5.35515976131434,1.43026291312427,-3.7441785787597,0.000180984899783364,0.0782901825645946,"Downregulated"
"Pastreoides19935",301.465420512137,3.38268983443196,0.90212564403918,3.74968814685978,0.000177054615180114,0.0782901825645946,"Upregulated"
"Pastreoides04430",56.662731636862,-4.56811268805018,1.20756383939755,-3.78291609852212,0.000155001673948071,0.0782901825645946,"Downregulated"
"Pastreoides15502",210.4664395322,3.21513431389438,0.862473422516681,3.72780682854283,0.000193153333437058,0.0782901825645946,"Upregulated"
"Pastreoides47033",53.1994305093332,-4.38828011552229,1.18727538581885,-3.69609289296917,0.000218942890979251,0.085185002582853,"Downregulated"
"Pastreoides22867",129.015166573332,-3.61519924902966,1.01336454333664,-3.56752096054803,0.000360374560103733,0.0996245987865715,"Downregulated"
"Pastreoides33274",76.3763358527172,4.63033307806801,1.29368471862476,3.57918201506642,0.000344671355703456,0.0996245987865715,"Upregulated"
"Pastreoides16284",53.2037994343293,-4.08871503560564,1.12826748460964,-3.62388803309372,0.000290207276526823,0.0996245987865715,"Downregulated"
"Pastreoides00124",95.1878272992668,4.69005345887786,1.28905048792618,3.63837840550621,0.000274360109352295,0.0996245987865715,"Upregulated"
"Pastreoides20806",96.6174936139562,4.17341590199382,1.16978817382623,3.56766805766475,0.000360172373374446,0.0996245987865715,"Upregulated"
"Pastreoides30226",98.9988314554795,4.31313062000641,1.20690117338368,3.57372311430775,0.000351941088496203,0.0996245987865715,"Upregulated"
"Pastreoides00796",245.221217770213,3.78890714811123,1.06031473271464,3.57337970624137,0.000352403173368824,0.0996245987865715,"Upregulated"
"Pastreoides22355",91.548590368319,4.69803173058728,1.30556122552875,3.59847676135188,0.000320086445453097,0.0996245987865715,"Upregulated"
"Pastreoides01817",53.3768263860548,4.81521297851114,1.34434225494737,3.58183562317593,0.000341188453345362,0.0996245987865715,"Upregulated"
"Pastreoides52806",271.644432985545,-3.06859666358127,0.845876755495948,-3.62771129912668,0.000285944738539382,0.0996245987865715,"Downregulated"
"Pastreoides24559",47.3115602772805,-3.60079349469913,1.00140686079309,-3.59573479639172,0.000323477216952305,0.0996245987865715,"Downregulated"
"Pastreoides61504",72.4168018516558,4.31481201403797,1.22392597907531,3.52538641045749,0.000422865481899107,0.113902612496157,"Unchanged"
"Pastreoides31404",71.8554555248619,4.40228492620684,1.25553163228171,3.50631144052217,0.000454363238594866,0.116416727352172,"Unchanged"
"Pastreoides56762",111.178718865449,4.24336039712288,1.20940345428929,3.50863922380354,0.000450405426748113,0.116416727352172,"Unchanged"
"Pastreoides10921",47.8128190525437,-5.23428844528981,1.51741022094542,-3.44948806396507,0.000561650560141748,0.120255792781879,"Unchanged"
"Pastreoides14987",80.4958729486412,4.297406103916,1.23680273044996,3.47460916612995,0.000511598149128447,0.120255792781879,"Unchanged"
"Pastreoides02329",57.0658064160244,4.31704132250428,1.24685229436253,3.46235182950153,0.000535476665550835,0.120255792781879,"Unchanged"
"Pastreoides38358",83.5597893167062,3.99419890209328,1.15962837421817,3.44437838095,0.00057237407321218,0.120255792781879,"Unchanged"
"Pastreoides19442",43.7471706727827,4.82852675524167,1.38393228828079,3.48899060751011,0.000484848184944292,0.120255792781879,"Unchanged"
"Pastreoides12792",51.1508508293162,4.54755798233694,1.31440265332073,3.45979062873003,0.000540595547779661,0.120255792781879,"Unchanged"
"Pastreoides20614",53.1758126623678,4.30014073387364,1.24269260070284,3.46034146452757,0.000539490800039793,0.120255792781879,"Unchanged"
"Pastreoides17512",48.6315524714232,4.40271112901476,1.27746916301136,3.44643241222066,0.000568040636177403,0.120255792781879,"Unchanged"
"Pastreoides37498",87.6096798816678,4.3370684565463,1.25283227440763,3.46181092644423,0.000536553951769703,0.120255792781879,"Unchanged"
"Pastreoides09897",68.9601819302189,4.50728205679576,1.31346317150942,3.43160139893076,0.000600028769269514,0.123594161199534,"Unchanged"
"Pastreoides38631",70.2131421579111,-4.15855618749861,1.21440561670577,-3.42435519919551,0.000616260158834681,0.124496403241506,"Unchanged"
"Pastreoides30519",57.0092777924581,4.62645003854153,1.35546798682924,3.41317543718897,0.000642105920162688,0.127270239458661,"Unchanged"
"Pastreoides53797",158.960936242919,3.49244520239182,1.02662186301497,3.40188079779954,0.000669238212431135,0.128883270072528,"Unchanged"
"Pastreoides20576",53.7650204072398,4.41781076857292,1.29949916191647,3.39962571584704,0.000674781518704336,0.128883270072528,"Unchanged"
"Pastreoides02070",54.1280236142449,-4.62698491752328,1.36641835895268,-3.38621395651456,0.000708641102540018,0.132933478253266,"Unchanged"
"Pastreoides15336",51.8657881024138,4.13727909662831,1.22829780808241,3.36830292247068,0.000756324471625928,0.137606746647204,"Unchanged"
"Pastreoides31529",103.584620625074,4.31844734863358,1.28255868698119,3.36705633236799,0.000759751671160191,0.137606746647204,"Unchanged"
"Pastreoides28358",54.9444671048704,4.26380058278389,1.27433142057183,3.34591183576922,0.00082012467912984,0.138331974234798,"Unchanged"
"Pastreoides19096",50.0482633941564,4.2837659106886,1.27741757662469,3.35345778003739,0.000798085885345341,0.138331974234798,"Unchanged"
"Pastreoides05708",61.6221889719364,3.67102114727415,1.0974706023844,3.34498358251999,0.00082287441103911,0.138331974234798,"Unchanged"
"Pastreoides05110",85.4028388336497,4.54980794271463,1.36110693198112,3.34272630298949,0.000829596799313878,0.138331974234798,"Unchanged"
"Pastreoides56062",155.580393799073,3.01346645899385,0.89690934212433,3.35983395139631,0.000779893312938032,0.138331974234798,"Unchanged"
"Pastreoides28284",83.4019442408441,3.87679149799775,1.16329301324172,3.33260103333244,0.000860382247148735,0.139854104206242,"Unchanged"
"Pastreoides14794",65.2585210420372,4.16858765755872,1.25305261303432,3.32674591170144,0.000878664529044453,0.139854104206242,"Unchanged"
"Pastreoides25763",68.6477301472214,4.15070266562369,1.24703011698486,3.32847026634728,0.000873243258317945,0.139854104206242,"Unchanged"
"Pastreoides41167",53.2576933265394,3.97814000563088,1.20436192521382,3.3031100721028,0.000956188470466409,0.140605165262268,"Unchanged"
"Pastreoides23634",46.5064117149427,4.27125365458381,1.28829084662837,3.3154420570186,0.000914983073859571,0.140605165262268,"Unchanged"
"Pastreoides00795",163.553075435723,4.13282077761306,1.24758423228005,3.31265871327986,0.000924136746312553,0.140605165262268,"Unchanged"
"Pastreoides63886",53.1742499903272,-4.19338078043268,1.27036809678079,-3.30091789226998,0.000963690804272563,0.140605165262268,"Unchanged"
"Pastreoides15220",74.4042594338246,4.09433214945519,1.23453072133956,3.31650892009599,0.000911496776239481,0.140605165262268,"Unchanged"
"Pastreoides25185",49.9988044059865,-4.3954359146717,1.32963976608951,-3.30573440022687,0.000947278343191436,0.140605165262268,"Unchanged"
"Pastreoides46904",81.6457169470355,3.98283749229232,1.21031550478327,3.29074317940387,0.000999230935633399,0.143793438066149,"Unchanged"
"Pastreoides37649",78.7181382427641,3.93811532567631,1.19815066935235,3.28682813139437,0.00101322652513156,0.143837089817663,"Unchanged"
"Pastreoides02391",46.461669476822,4.00512281047645,1.22716378833127,3.26372310571738,0.00109958571710933,0.150014908548487,"Unchanged"
"Pastreoides22005",60.5568927897074,4.11383377646106,1.2599898403174,3.26497376790336,0.00109474214563259,0.150014908548487,"Unchanged"
"Pastreoides05622",62.400200286401,4.37964122796692,1.33951618830649,3.26956946560234,0.0010771128663617,0.150014908548487,"Unchanged"
"Pastreoides15742",80.2833507225459,4.17159907943106,1.28160437527431,3.25498192727235,0.00113399581843466,0.152725975290463,"Unchanged"
"Pastreoides50933",57.1049441993054,4.08115777988383,1.25624155799791,3.24870464115836,0.00115931785464687,0.154159924848929,"Unchanged"
"Pastreoides20819",166.076671878505,-4.60665499012089,1.42723820088267,-3.22767074709177,0.0012480253289309,0.161858099758261,"Unchanged"
"Pastreoides24996",63.6985961180443,4.0752611195366,1.26249280716172,3.22794799021343,0.00124681640961388,0.161858099758261,"Unchanged"
"Pastreoides12848",215.938212141316,-2.53296057221127,0.788682107636199,-3.21163691642877,0.00131981063182119,0.167821490064347,"Unchanged"
"Pastreoides15276",85.6025846628425,4.03311708266444,1.25630471563423,3.2103016350045,0.00132595751312145,0.167821490064347,"Unchanged"
"Pastreoides21435",49.9842694413464,4.47971141679144,1.39879810562584,3.20254323963868,0.00136219848542251,0.170355893920993,"Unchanged"
"Pastreoides43695",60.7057820369899,3.59532760576059,1.12553601561888,3.19432479802408,0.00140158330381138,0.171205030308588,"Unchanged"
"Pastreoides49846",49.2195297519879,4.10053167716198,1.28344811652674,3.19493372919414,0.00139862952305033,0.171205030308588,"Unchanged"
"Pastreoides40594",59.7207245757801,3.27120457905331,1.03339315575977,3.16549859152904,0.00154817411367133,0.178331025597925,"Unchanged"
"Pastreoides39721",55.9948403125,4.16447602902175,1.31167721774733,3.17492441941915,0.00149875533416839,0.178331025597925,"Unchanged"
"Pastreoides08367",429.53863297641,2.70709855256188,0.853286378283124,3.17255568758611,0.00151103577480065,0.178331025597925,"Unchanged"
"Pastreoides40037",44.0571511601896,3.75179570340982,1.19084141025979,3.15054185308465,0.00162967905353648,0.178331025597925,"Unchanged"
"Pastreoides52592",53.2791075808351,4.0714899886407,1.29120533585338,3.15324749331972,0.00161464849738072,0.178331025597925,"Unchanged"
"Pastreoides50699",154.990565015094,2.29629396836582,0.726760366252047,3.15963015458309,0.00157969525444795,0.178331025597925,"Unchanged"
"Pastreoides34037",86.8449027787319,3.62169772479372,1.14079489972439,3.17471416261476,0.00149984165821278,0.178331025597925,"Unchanged"
"Pastreoides14298",48.6229823970581,4.14091550069391,1.31240357751442,3.15521503571062,0.00160379851797961,0.178331025597925,"Unchanged"
"Pastreoides36066",55.6860526157949,3.94761651193419,1.25201258715397,3.15301663293001,0.00161592599211055,0.178331025597925,"Unchanged"
"Pastreoides03192",43.3430265754541,4.12229728060808,1.30226974799771,3.16547112220512,0.00154832030067156,0.178331025597925,"Unchanged"
"Pastreoides06569",47.1717262942541,4.20921141100013,1.34259229796665,3.13513746308164,0.00171773599553179,0.18326335986385,"Unchanged"
"Pastreoides39817",46.1596030146473,-5.01595283888804,1.59831054851504,-3.13828426118332,0.00169939982726818,0.18326335986385,"Unchanged"
"Pastreoides32109",83.5020542045451,3.10063816377917,0.989498791355235,3.13354416485187,0.00172708925526142,0.18326335986385,"Unchanged"
"Pastreoides44664",54.5571930035659,3.9460603288601,1.26493688827959,3.11957091727084,0.00181114657148044,0.19026094733402,"Unchanged"
"Pastreoides03830",62.662417351499,3.91095993017038,1.25747969314797,3.11015752499326,0.00186987593806549,0.19448561118196,"Unchanged"
"Pastreoides27189",42.1779051403865,3.93785663956387,1.26769170609551,3.1063204252495,0.00189431325343839,0.195095693405591,"Unchanged"
"Pastreoides51021",56.724540362733,4.09161389729589,1.31891327008893,3.10226152855372,0.00192048210435395,0.195480627296162,"Unchanged"
"Pastreoides12161",45.0967243544948,4.04661286512089,1.30621878350743,3.09795948137801,0.00194858068296258,0.195480627296162,"Unchanged"
"Pastreoides42761",62.7629226654588,-3.10218426075934,1.0016237855073,-3.09715514512085,0.00195387585588739,0.195480627296162,"Unchanged"
"Pastreoides63482",49.2402972410844,4.09198522681075,1.32251240205333,3.09409970028074,0.00197411134374114,0.195641883641516,"Unchanged"
"Pastreoides42894",66.9675704805165,3.84320910782856,1.25253489773585,3.06834493376253,0.00215248006846765,0.195959531559829,"Unchanged"
"Pastreoides07636",49.4858403845242,-4.1046896467041,1.33206598253854,-3.08144618998656,0.00205997706113842,0.195959531559829,"Unchanged"
"Pastreoides01581",215.67475503459,2.76244264689687,0.902270791812562,3.06165584873631,0.0022011637052889,0.195959531559829,"Unchanged"
"Pastreoides04718",2754.27129809824,-3.62853650126821,1.1822160982649,-3.06926669886638,0.00214584933916015,0.195959531559829,"Unchanged"
"Pastreoides43688",52.2096021404852,-3.35401828434872,1.08694433055004,-3.08573143083736,0.00203052136764049,0.195959531559829,"Unchanged"
"Pastreoides04526",46.2085792794048,4.20733678616542,1.3688620151741,3.0736018236508,0.00211491500469082,0.195959531559829,"Unchanged"
"Pastreoides54066",48.760684266708,4.24421320284923,1.37586982580017,3.0847490970891,0.00203723933990826,0.195959531559829,"Unchanged"
"Pastreoides23326",54.7029055313954,3.73627870612407,1.22000812333292,3.06250313802582,0.00219494174094129,0.195959531559829,"Unchanged"
"Pastreoides11141",54.4563676438917,4.11711655313764,1.33535613284188,3.0831599540234,0.00204815034566831,0.195959531559829,"Unchanged"
"Pastreoides14118",41.7325307017558,3.35988669046085,1.0950182020858,3.06833866693806,0.00215252521317216,0.195959531559829,"Unchanged"
"Pastreoides13493",45.3349100549457,3.81586912473452,1.23914139231039,3.0794460974464,0.00207385894358347,0.195959531559829,"Unchanged"
"Pastreoides00625",48.3848239072826,3.92780079022271,1.28157554944598,3.06482188421953,0.00217799664579873,0.195959531559829,"Unchanged"
"Pastreoides39657",72.0439158334583,3.6364415282658,1.19601093945085,3.04047513974704,0.00236205190687066,0.197431773497025,"Unchanged"
"Pastreoides39123",52.1965722065405,3.94823574058975,1.29799938876977,3.04178551604083,0.00235179406961233,0.197431773497025,"Unchanged"
"Pastreoides08893",444.107555232835,3.06582188862699,1.00858996808097,3.03971086928445,0.00236805363737508,0.197431773497025,"Unchanged"
"Pastreoides11905",48.2373502815834,-3.68381627520341,1.20921417364732,-3.04645476002982,0.0023155732203216,0.197431773497025,"Unchanged"
"Pastreoides36560",57.2362115389332,4.10175658565553,1.34621608637903,3.04687830368168,0.00231231305856117,0.197431773497025,"Unchanged"
