"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Expression"
"Pastreoides47726",72.1434782692813,13.6475572380959,1.88863690661767,7.22614134579054,4.96910563634286e-13,1.13076967860618e-08,"Upregulated"
"Pastreoides43684",85.7695204537679,10.2506665014793,1.43750621188086,7.13086762113337,9.9738209761184e-13,1.13482135066275e-08,"Upregulated"
"Pastreoides05711",127.223604131998,8.07870736675005,1.17123449475316,6.89760026957936,5.28883123858256e-12,4.01175478883949e-08,"Upregulated"
"Pastreoides47463",474.106263137336,10.1414125288953,1.50319433477572,6.74657447429007,1.51376384627586e-11,8.61180252146337e-08,"Upregulated"
"Pastreoides27092",245.780642756622,8.76702118101833,1.33978191991013,6.5436180700262,6.00480350787216e-11,2.73290617250278e-07,"Upregulated"
"Pastreoides21417",876.764174800245,-8.63641588993847,1.34039727294861,-6.44317626142292,1.16998682402805e-10,3.40773793963701e-07,"Downregulated"
"Pastreoides05707",60.1024618238536,10.806798645716,1.67738554810629,6.44264442239678,1.17409549166459e-10,3.40773793963701e-07,"Upregulated"
"Pastreoides05708",61.6221889719364,9.58463669950018,1.48839363647114,6.43958457268374,1.19800947078116e-10,3.40773793963701e-07,"Upregulated"
"Pastreoides00796",245.221217770213,8.25430218968736,1.34502811563241,6.13689936571055,8.4147652431274e-10,1.91486397872607e-06,"Upregulated"
"Pastreoides54234",719.347783406811,7.18756129087138,1.16927279906561,6.14703540235872,7.89445140516498e-10,1.91486397872607e-06,"Upregulated"
"Pastreoides36461",39.8307823583751,10.4873445402033,1.76316610051566,5.94801847491063,2.71407967491570e-09,5.61469064385287e-06,"Upregulated"
"Pastreoides06542",137.187622653824,8.57035888629872,1.45252855911079,5.90030318684082,3.62834202789912e-09,6.04657780272797e-06,"Upregulated"
"Pastreoides08271",54.0160551093882,10.2922847646654,1.74558337609548,5.89618628683734,3.71998985929828e-09,6.04657780272797e-06,"Upregulated"
"Pastreoides41641",8312.81916041101,5.09024396074035,0.862626971586873,5.90086344202342,3.61604115428416e-09,6.04657780272797e-06,"Upregulated"
"Pastreoides12254",159.146338557264,9.46866960662901,1.61936248538705,5.8471587998816,5.00040099966277e-09,6.43479601991557e-06,"Upregulated"
"Pastreoides23846",113.617866378607,-7.54182307700818,1.28948461201935,-5.84871118795095,4.9539638208228e-09,6.43479601991557e-06,"Downregulated"
"Pastreoides06953",685.739716168876,7.86778546617674,1.33958073824225,5.8733193465446,4.27154478616228e-09,6.43479601991557e-06,"Upregulated"
