"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Expression"
"Pastreoides47463",474.106263137336,9.68174217349769,1.39882580219674,6.92133513572118,4.47406620738762e-12,9.72438290175699e-08,"Upregulated"
"Pastreoides27092",245.780642756622,7.05070924818258,1.07709025610245,6.54607096131036,5.90705208688691e-11,6.41948885542435e-07,"Upregulated"
"Pastreoides51367",140.366005007775,8.83248588282643,1.45373152068429,6.07573390076104,1.23421931650509e-09,8.9419189480794e-06,"Upregulated"
"Pastreoides39305",798.484178739722,5.02083427601978,0.852553352916906,5.8891731043478,3.88132731807425e-09,1.68721298516687e-05,"Upregulated"
"Pastreoides17266",114.970285763316,6.95140542411636,1.17939783916402,5.89402930316003,3.76890289159763e-09,1.68721298516687e-05,"Upregulated"
"Pastreoides12836",249.28820227312,9.54378686548744,1.6533084294225,5.77253868403798,7.80860096634285e-09,1.8857771333718e-05,"Upregulated"
"Pastreoides47733",300.047444336673,8.98914278108864,1.54755763057489,5.80859969508816,6.29975126921881e-09,1.8857771333718e-05,"Upregulated"
"Pastreoides24880",495.711229267076,5.62113290189324,0.968388095826428,5.80462825402261,6.45089663755354e-09,1.8857771333718e-05,"Upregulated"
"Pastreoides16064",295.651267310191,6.84153302774754,1.18187959309993,5.78868868511642,7.09380326682924e-09,1.8857771333718e-05,"Upregulated"
"Pastreoides30665",238.366174760755,7.90822294143772,1.37545294208735,5.74954089627842,8.9486106493128e-09,1.94498052462814e-05,"Upregulated"
"Pastreoides03300",517.502007032815,6.47778281953536,1.13952408124608,5.68463881206602,1.31089410434377e-08,2.59020757799199e-05,"Upregulated"
"Pastreoides17264",138.872256809341,6.81677588056815,1.20739420485668,5.64585771005695,1.64359743997044e-08,2.97696586314646e-05,"Upregulated"
"Pastreoides13217",157.95601119891,8.52436025577623,1.5186089582386,5.61326878096612,1.98539840128442e-08,3.3194334039936e-05,"Upregulated"
"Pastreoides30749",197.994204920738,5.80371567131368,1.04043370792631,5.57816959129577,2.43062626725696e-08,3.52197746125533e-05,"Upregulated"
"Pastreoides41044",89.151288240433,6.26247724979034,1.12061050635074,5.58845130783583,2.29103596367384e-08,3.52197746125533e-05,"Upregulated"
"Pastreoides12834",296.114540700132,7.60664115153519,1.40105641691804,5.42921830961512,5.66014134641791e-08,7.68894826027457e-05,"Upregulated"
"Pastreoides54234",719.347783406811,4.84367882122057,0.897374320686174,5.39761246735573,6.75335404498128e-08,8.15467500931489e-05,"Upregulated"
"Pastreoides20615",127.228757255197,8.34359021035674,1.5449975790656,5.40039047530603,6.64959990048023e-08,8.15467500931489e-05,"Upregulated"
"Pastreoides01470",54.6505986188534,8.14544252121159,1.51857262208985,5.36388079353222,8.14526698168366e-08,9.19734536393334e-05,"Upregulated"
"Pastreoides25770",74.4889303500492,7.73592087252904,1.44408659328266,5.35696467823576,8.46316573630857e-08,9.19734536393334e-05,"Upregulated"
"Pastreoides34510",149.968109891156,6.46811040589779,1.21032764792985,5.34409869671314,9.08680494371056e-08,9.40484311674043e-05,"Upregulated"
"Pastreoides08917",159.133437160906,4.67945861379973,0.879391865083681,5.32124391820983,1.030601086373e-07,0.00010181870278326,"Upregulated"
"Pastreoides22363",176.762730176633,8.26984047083694,1.5749264942407,5.25093742538375,1.5132708530151e-07,0.00013704559162618,"Upregulated"
"Pastreoides06953",685.739716168876,6.11049763111345,1.16340260214274,5.25226402266868,1.50240887542479e-07,0.00013704559162618,"Upregulated"
"Pastreoides01447",141.372051083276,6.11702027669221,1.17943137816252,5.18641473336255,2.14381108763004e-07,0.000186382935958556,"Upregulated"
"Pastreoides05707",60.1024618238536,7.99096894661692,1.55138473492812,5.15086217281052,2.5929169317923e-07,0.000216757882740406,"Upregulated"
"Pastreoides04835",839.783445535609,3.6397117433879,0.70824871041389,5.13903052680592,2.7615953738888e-07,0.000222308427598049,"Upregulated"
"Pastreoides14382",141.386996987793,5.76349999174365,1.12776201647212,5.11056402641855,3.21198431799338e-07,0.000249330282684236,"Upregulated"
"Pastreoides33977",52.9482320301651,7.67630222507162,1.51612381605697,5.063110376457,4.12470879977098e-07,0.000309139812975939,"Upregulated"
"Pastreoides21417",876.764174800245,-5.61562016863428,1.11231718223433,-5.04857810193501,4.45110498467492e-07,0.000312079893038418,"Downregulated"
"Pastreoides58986",72.9416906371151,7.54926214588705,1.49500941874166,5.04964186261865,4.42639122671894e-07,0.000312079893038418,"Upregulated"
"Pastreoides43230",85.9420777551643,7.59173427636452,1.50651160327023,5.03928032142925,4.67285642236345e-07,0.000317389169812718,"Upregulated"
"Pastreoides01657",50.9825120544842,7.91706231460165,1.58506483550003,4.99478768141626,5.8900530759384e-07,0.000338304108591128,"Upregulated"
"Pastreoides06771",45.151629496363,7.58460624767063,1.51489031667059,5.00670323402686,5.53701947465838e-07,0.000338304108591128,"Upregulated"
"Pastreoides04644",203.270904552082,7.60157669302287,1.51877332614287,5.00507650626714,5.58398485504254e-07,0.000338304108591128,"Upregulated"
"Pastreoides60602",122.985038150875,6.60266015999001,1.32475207239306,4.98407233895683,6.22597853399821e-07,0.000338304108591128,"Upregulated"
"Pastreoides06952",307.327501768635,6.60648381966921,1.31990739465566,5.00526313165533,5.57857733853351e-07,0.000338304108591128,"Upregulated"
"Pastreoides17273",307.324310198727,3.83845124604737,0.769360633645196,4.98914433386195,6.0647322771311e-07,0.000338304108591128,"Upregulated"
"Pastreoides15128",92.2444496998581,6.16055577352269,1.23415096053247,4.99173599546098,5.98390102425308e-07,0.000338304108591128,"Upregulated"
"Pastreoides58215",58.5608826968172,5.98707901767677,1.20046161912731,4.98731398179072,6.12245211376547e-07,0.000338304108591128,"Upregulated"
"Pastreoides43337",75.2073346309759,5.74615612746633,1.15542062925501,4.97321579862332,6.58512864049301e-07,0.000340780407145513,"Upregulated"
"Pastreoides13218",94.659523153919,7.91448907032289,1.59033209646582,4.97662663534943,6.47019523377298e-07,0.000340780407145513,"Upregulated"
"Pastreoides34489",685.217549732203,3.81123459439104,0.76715834609929,4.96798948192342,6.76506311269136e-07,0.000341950341289178,"Upregulated"
"Pastreoides37220",63.9625546996055,7.92979721634692,1.59813868216927,4.96189555063096,6.98085343460375e-07,0.000344838294093437,"Upregulated"
"Pastreoides48230",169.306570596033,8.05933446949265,1.63133400537114,4.9403337654689,7.79889577565111e-07,0.000354718306715231,"Upregulated"
"Pastreoides28930",84.7974673280353,7.06394390760411,1.42814408380764,4.94624036026576,7.56605278604869e-07,0.000354718306715231,"Upregulated"
"Pastreoides05033",115.986454238668,5.45260696167052,1.10331253741748,4.94203299314756,7.731212821542e-07,0.000354718306715231,"Upregulated"
"Pastreoides05590",55.220734405613,7.56383211702676,1.53130554605799,4.93946628515661,7.83366860930807e-07,0.000354718306715231,"Upregulated"
"Pastreoides22516",335.145403751711,4.77721905912436,0.968451022470914,4.93284528414841,8.10403460476923e-07,0.000359471820682978,"Upregulated"
"Pastreoides58622",39.0805442037651,7.60212111900284,1.54395422175297,4.92379956082608,8.48797788369353e-07,0.000361737645690351,"Upregulated"
"Pastreoides40839",87.2736904218445,7.75991496397751,1.5747961427668,4.92756792656598,8.3259482394469e-07,0.000361737645690351,"Upregulated"
"Pastreoides02610",43.3058677398477,7.6969551485323,1.56564974803456,4.91614114727428,8.82667685427597e-07,0.00036893811813017,"Upregulated"
"Pastreoides00705",47.3089735025123,7.74020869075458,1.58662261591305,4.87841822820629,1.06939981852083e-06,0.000438554812368874,"Upregulated"
"Pastreoides05710",96.4511922968166,7.28861257418089,1.49614924311414,4.87158123277202,1.10708627292039e-06,0.000445602224850456,"Upregulated"
"Pastreoides03034",90.2615637543585,7.5516553249411,1.55435692125432,4.85837919314382,1.18350585076983e-06,0.000457530001445079,"Upregulated"
"Pastreoides12531",181.640854789992,5.60792401003436,1.15386873978453,4.86010567465549,1.17323110489989e-06,0.000457530001445079,"Upregulated"
"Pastreoides21177",95.5158198323178,6.01367075957306,1.23848709961935,4.85565878031461,1.19987163940048e-06,0.000457530001445079,"Upregulated"
"Pastreoides23169",172.47592927643,4.22882584834357,0.871999092810808,4.84957597227807,1.23725675714574e-06,0.000463651303733839,"Upregulated"
"Pastreoides50432",189.051896364156,6.0151360883781,1.24457131416647,4.83309877056474,1.3442405080724e-06,0.000486951124049226,"Upregulated"
"Pastreoides27646",196.685408231658,5.16761364121462,1.06882669917278,4.83484707597042,1.33248029663487e-06,0.000486951124049226,"Upregulated"
"Pastreoides27001",41.0709387070415,7.69901505228237,1.59885106115525,4.81534224127132,1.46947818434089e-06,0.000523591939945071,"Upregulated"
"Pastreoides11396",81.5774328531034,5.49131221999637,1.14275598755488,4.80532351595547,1.54501472096988e-06,0.000541627338069039,"Upregulated"
"Pastreoides46535",41.7767014225642,8.30827416410933,1.73358469423083,4.79254010015104,1.64682841777242e-06,0.000568155804131484,"Upregulated"
"Pastreoides31571",109.933341987307,5.37129197905206,1.12158277206938,4.78902860565674,1.67590592285914e-06,0.00056915336302099,"Upregulated"
"Pastreoides05708",61.6221889719364,5.91361555222603,1.24054896771283,4.76693440254019,1.87050176399455e-06,0.000625467012929563,"Upregulated"
"Pastreoides06285",43.5263765527491,7.57637360182627,1.59576069949158,4.74781313027709,2.05627887080058e-06,0.000667063003833592,"Upregulated"
"Pastreoides33054",105.788835789502,5.15422600600937,1.08529261264131,4.74915791923191,2.04265394997664e-06,0.000667063003833592,"Upregulated"
"Pastreoides05403",119.375324135291,7.28432109526582,1.53766389370662,4.73726483731537,2.16621998271843e-06,0.000692393990064487,"Upregulated"
"Pastreoides53656",56.4328241801585,7.17559334644729,1.51761963262277,4.72818958861672,2.26530616362813e-06,0.000713571441542861,"Upregulated"
"Pastreoides31795",66.6510557691421,7.64537327301506,1.61940017961015,4.72111425531371,2.34556126596198e-06,0.000727845069491227,"Upregulated"
"Pastreoides01681",43.868250222171,7.19659198977273,1.52751213097471,4.71131576885124,2.46122534208425e-06,0.000727845069491227,"Upregulated"
"Pastreoides07538",164.732653000872,5.59138540709431,1.18753114458878,4.70841159204332,2.49654602408331e-06,0.000727845069491227,"Upregulated"
"Pastreoides32327",57.1960328080225,6.88431492873002,1.45908863090004,4.71822943646914,2.37906100075038e-06,0.000727845069491227,"Upregulated"
"Pastreoides12158",144.437257059695,5.7650955216462,1.22517191828628,4.70554004348239,2.53194798642074e-06,0.000727845069491227,"Upregulated"
"Pastreoides14102",92.6946212107494,4.81430910095663,1.02137135815028,4.71357363072665,2.43409712306417e-06,0.000727845069491227,"Upregulated"
"Pastreoides03160",55.3702046756699,7.63806590355641,1.62356983511617,4.70448867572725,2.54502991862587e-06,0.000727845069491227,"Upregulated"
"Pastreoides06542",137.187622653824,6.41826264050436,1.3655053894198,4.70028363874234,2.59800385696224e-06,0.000733345634169797,"Upregulated"
"Pastreoides12687",277.510907907938,5.02420279038688,1.0702925340192,4.69423324062612,2.67608565609841e-06,0.000745701560708961,"Upregulated"
