"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Expression"
"Pastreoides39124",59.4015659950852,-23.7926422409952,1.75587853749409,-13.5502779565556,7.89306917510461e-42,2.12726107338244e-37,"Downregulated"
"Pastreoides52957",64.0392738224062,-23.6798213977022,1.82546904575142,-12.9719106729388,1.76573250348612e-38,2.37941283507272e-34,"Downregulated"
"Pastreoides40420",38.8693262723053,-23.1788497774226,1.85059071195767,-12.5251086734909,5.44167647499515e-36,4.88862075591981e-32,"Downregulated"
"Pastreoides07231",38.5900845481346,-23.443558625551,1.92637269480997,-12.1697938767055,4.50217976514321e-34,3.03345617125937e-30,"Downregulated"
"Pastreoides58165",58.538838786353,-21.5191222174352,1.81489298996649,-11.8569647557196,1.98024155426246e-32,1.06738980257855e-28,"Downregulated"
"Pastreoides05895",44.9398284439806,-22.1993909336254,1.88045797342822,-11.8053108590107,3.66434233985583e-32,1.64596150669091e-28,"Downregulated"
"Pastreoides13769",25.7670972231623,-22.3418618785526,2.01585652289889,-11.0830615298077,1.51598471746497e-28,5.8367577314855e-25,"Downregulated"
"Pastreoides31156",23.1626753467343,-21.6426507028563,1.96398648393728,-11.0197554208563,3.06891794628912e-28,1.03388009463048e-24,"Downregulated"
"Pastreoides02137",22.5382594345904,-22.4452983807215,2.04229710897808,-10.9902218840003,4.25877830626032e-28,1.27531482368913e-24,"Downregulated"
"Pastreoides13989",25.3616056640587,-23.962799952911,2.23151629701491,-10.7383486219508,6.72362602212006e-27,1.81208444922158e-23,"Downregulated"
"Pastreoides53120",24.8769513834771,-20.9892512235188,1.98770694612484,-10.5595300476454,4.58953756778001e-26,1.1244784271749e-22,"Downregulated"
"Pastreoides35644",22.4165247168652,-20.983941022674,1.99799278061319,-10.5025109331145,8.4112460961533e-26,1.88909577947856e-22,"Downregulated"
"Pastreoides14657",19.5214058257356,-21.9945116513664,2.10198753007303,-10.4636737072376,1.26840343215494e-25,2.62959545384675e-22,"Downregulated"
"Pastreoides02840",26.9472710838097,-21.730393747342,2.08445328260839,-10.4249847807333,1.90689861738195e-25,3.67091604550436e-22,"Downregulated"
"Pastreoides04485",20.0892051865562,-23.6429066643064,2.30356556099611,-10.2636135322681,1.0278682751029e-24,1.84680519215321e-21,"Downregulated"
"Pastreoides60642",26.7688670137963,-23.4977763872761,2.30708462307778,-10.1850517975057,2.31236713942512e-24,3.8950379234154e-21,"Downregulated"
"Pastreoides36824",24.0616037702358,-20.5091981338036,2.02094099640929,-10.1483408819176,3.37044457888914e-24,5.34334422621418e-21,"Downregulated"
"Pastreoides56596",17.1401356094354,-22.9980801109118,2.2743206794992,-10.1120656898639,4.88433923877794e-24,7.31321260135024e-21,"Downregulated"
"Pastreoides54347",18.4613597633507,-21.6387122161663,2.15574827661291,-10.0376803966022,1.04093130105271e-23,1.4765336576143e-20,"Downregulated"
"Pastreoides29040",35.5573863397938,-20.2514919839914,2.02002861609861,-10.0253490582248,1.17942113909674e-23,1.58932895598982e-20,"Downregulated"
"Pastreoides05025",19.6836106658636,-20.3787284053195,2.04110576224105,-9.98416092997775,1.78807446443383e-23,2.29478070909315e-20,"Downregulated"
"Pastreoides58973",16.9158934389348,-21.1095714629333,2.13229648050931,-9.89992323107487,4.16594704771046e-23,5.10347449467475e-20,"Downregulated"
"Pastreoides51042",22.2601295219093,-20.676305581029,2.1095604229866,-9.80123885323779,1.11213169072594e-22,1.30317657377195e-19,"Downregulated"
"Pastreoides61924",35.0462540833733,-19.2123191878893,1.96112489532073,-9.79658115285273,1.16460841919736e-22,1.30780672940783e-19,"Downregulated"
"Pastreoides09831",14.9307165414236,-22.9070303433078,2.34814783480436,-9.75536122716752,1.74976628388218e-22,1.88631804467635e-19,"Downregulated"
"Pastreoides19054",19.1969789485466,-21.9921659118148,2.27575416255171,-9.66368260408053,4.30118075517582e-22,4.45850471279783e-19,"Downregulated"
"Pastreoides04729",22.267353614492,-20.3804166614838,2.12492382260144,-9.5911281358468,8.71270800559317e-22,8.69689605402746e-19,"Downregulated"
"Pastreoides25449",20.5879335123602,-20.3075807042296,2.12701499610053,-9.54745535008432,1.32920950015438e-21,1.27941161566645e-18,"Downregulated"
