"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Expression"
"Pastreoides52957",64.0392738224062,-23.4281556957239,1.83375988823812,-12.7760214660567,2.23198073641304e-37,5.89421472871956e-33,"Downregulated"
"Pastreoides58165",58.538838786353,-23.0177288051553,1.82066271712475,-12.6425002218454,1.23077041179583e-36,1.62510925173522e-32,"Downregulated"
"Pastreoides39124",59.4015659950852,-22.1089655283612,1.7729740519612,-12.4699882121259,1.08842151056527e-35,9.58101175033587e-32,"Downregulated"
"Pastreoides40420",38.8693262723053,-22.6567048096652,1.86374468934496,-12.1565496278507,5.29481680321654e-34,3.49563805348356e-30,"Downregulated"
"Pastreoides07231",38.5900845481346,-22.4779821418712,1.96630559800505,-11.4315812174245,2.90765232109991e-30,1.53570564991213e-26,"Downregulated"
"Pastreoides05895",44.9398284439806,-21.1702737021816,1.88742076105749,-11.2165099266579,3.38361842450168e-29,1.48924325590401e-25,"Downregulated"
"Pastreoides31156",23.1626753467343,-22.0751793873393,2.03170988946874,-10.865320635473,1.68629778826511e-27,6.36167885607213e-24,"Downregulated"
"Pastreoides04485",20.0892051865562,-23.8239842568572,2.30437535337319,-10.3385866464781,4.71438981934828e-25,1.55622007936687e-21,"Downregulated"
"Pastreoides02137",22.5382594345904,-21.0639382904384,2.06029775109222,-10.223735030178,1.55241457259742e-24,4.55512933701697e-21,"Downregulated"
"Pastreoides58973",16.9158934389348,-21.8064823860352,2.14137769426552,-10.1833891538291,2.35223212060482e-24,6.21177458409322e-21,"Downregulated"
"Pastreoides14657",19.5214058257356,-21.3906698811397,2.11096358064269,-10.1331307073651,3.93833908286417e-24,9.45487804547973e-21,"Downregulated"
"Pastreoides53120",24.8769513834771,-20.438243470406,2.02847025240218,-10.0756929741525,7.07602117245684e-24,1.55719639268534e-20,"Downregulated"
"Pastreoides13769",25.7670972231623,-20.7530620918779,2.06250939310687,-10.0620448863103,8.1292001875005e-24,1.65135321962702e-20,"Downregulated"
"Pastreoides36824",24.0616037702358,-20.2307072744071,2.03457541492363,-9.94345411136629,2.69323011668285e-23,5.08020149438291e-20,"Downregulated"
"Pastreoides54347",18.4613597633507,-20.9811706964252,2.17624255531073,-9.64100745352327,5.3658737528322e-22,9.33947501114322e-19,"Downregulated"
"Pastreoides05025",19.6836106658636,-20.0710781736149,2.08302266807906,-9.63555437067049,5.65857316640002e-22,9.33947501114322e-19,"Downregulated"
"Pastreoides61924",35.0462540833733,-19.4280053252813,2.03051097643321,-9.56803757811172,1.08954042921825e-21,1.69250492087033e-18,"Downregulated"
"Pastreoides13989",25.3616056640587,-21.6385252974304,2.27577248273821,-9.50821115096485,1.93969235291169e-21,2.84574420309399e-18,"Downregulated"
"Pastreoides35644",22.4165247168652,-19.1632973984512,2.02512755345388,-9.46276068673698,2.99918226789893e-21,4.16854764898289e-18,"Downregulated"
"Pastreoides19054",19.1969789485466,-21.4742681021717,2.28646703263992,-9.39189929074894,5.89279082546568e-21,7.78084100594488e-18,"Downregulated"
"Pastreoides02840",26.9472710838097,-19.6899785907738,2.10338867203983,-9.36107475166668,7.89296754092169e-21,9.92559461050762e-18,"Downregulated"
"Pastreoides51042",22.2601295219093,-20.2755346241604,2.18312775607135,-9.28737888461795,1.58134481614107e-20,1.89818881384788e-17,"Downregulated"
"Pastreoides29040",35.5573863397938,-19.3982137164409,2.09212808653679,-9.27200100284097,1.82685943681694e-20,2.09755234815051e-17,"Downregulated"
"Pastreoides12208",12.1369559433954,-19.7552512638811,2.14241634168733,-9.22101408558257,2.94303514567929e-20,3.23831967196244e-17,"Downregulated"
"Pastreoides09831",14.9307165414236,-21.7114341004791,2.37133993513873,-9.15576623104814,5.39734009579252e-20,5.70131828998755e-17,"Downregulated"
"Pastreoides56596",17.1401356094354,-20.9384358326778,2.31875516209319,-9.0300330862773,1.71619900226856e-19,1.74313012507339e-16,"Downregulated"
"Pastreoides04729",22.267353614492,-19.6689941842771,2.20275632711314,-8.92926464093039,4.28849857812758e-19,4.19446927597011e-16,"Downregulated"
"Pastreoides60642",26.7688670137963,-20.9688849587553,2.35224334914858,-8.9144199159263,4.90376584678146e-19,4.62495173149303e-16,"Downregulated"
"Pastreoides19204",32.0463397324051,-19.4878079544706,2.19264270632222,-8.88781738049696,6.23210009348961e-19,5.67507928513358e-16,"Downregulated"
"Pastreoides45289",12.4805367422341,-21.0129007876963,2.37538300355395,-8.8461106087977,9.06224383077619e-19,7.97719116943792e-16,"Downregulated"
"Pastreoides23907",17.2960647495066,-18.4185023179488,2.10980841894362,-8.72994066786924,2.54806257989389e-18,2.17062053580122e-15,"Downregulated"
"Pastreoides25149",16.1298334145912,-20.7117558277003,2.38382930003595,-8.68843915434213,3.67452928038524e-18,3.03240528863792e-15,"Downregulated"
"Pastreoides59859",19.36483696377,-20.0672865853124,2.32490049495251,-8.63146041255511,6.05735280935566e-18,4.84735069665043e-15,"Downregulated"
"Pastreoides23167",18.7169745188469,-20.3538988870371,2.38561203021751,-8.53194007626685,1.43913600261745e-17,1.11778539873887e-14,"Downregulated"
"Pastreoides45604",9.87749819128443,-20.460043933658,2.40602161865217,-8.50368250020944,1.83669431988937e-17,1.38581210284681e-14,"Downregulated"
"Pastreoides35619",10.310063058156,-21.9860298413418,2.59414023471344,-8.47526650530921,2.34541986449066e-17,1.72049577170748e-14,"Downregulated"
"Pastreoides11065",12.5211607522674,-20.2174506567344,2.39617572990292,-8.43738228562791,3.24523685296895e-17,2.31622202197849e-14,"Downregulated"
"Pastreoides46750",9.53904083252544,-20.2987344683277,2.43760934850132,-8.32731236480022,8.26983302935001e-17,5.74709870102829e-14,"Downregulated"
