"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Expression"
"Pastreoides00394",1480.42352649543,-3.75753334227498,0.490226303322565,-7.66489541015621,1.78976989417508e-14,3.46159395232402e-10,"Downregulated"
"Pastreoides11697",338.057296858093,-4.44778225280091,0.607713019585373,-7.31888590413204,2.50038069051968e-13,2.09715146672829e-09,"Downregulated"
"Pastreoides22730",479.575098201601,-3.38014435730045,0.464083011736425,-7.28349082344819,3.25291060451108e-13,2.09715146672829e-09,"Downregulated"
"Pastreoides17065",722.107145571915,-3.83079273760184,0.542786655777411,-7.05763986057313,1.69354281404596e-12,8.18870289161572e-09,"Downregulated"
"Pastreoides01779",317.543225476476,3.64608148743432,0.519861069620275,7.01356901007716,2.32314295193101e-12,8.98638156665953e-09,"Upregulated"
"Pastreoides16262",361.36592755727,-4.46824540629979,0.64981675303899,-6.87616221866118,6.1486481486422e-12,1.98201673071481e-08,"Downregulated"
"Pastreoides01966",153.760653416562,6.6853357541855,0.977332074987407,6.84039327602304,7.89760656398549e-12,2.18210869362919e-08,"Upregulated"
"Pastreoides00472",1256.18695508481,-4.10354192891597,0.603131903030185,-6.80372221780913,1.01950032800243e-11,2.46476948048688e-08,"Downregulated"
"Pastreoides13382",775.546959454745,-4.81303160787716,0.721906675294103,-6.66711054571748,2.60888590678076e-11,5.60649581367185e-08,"Downregulated"
"Pastreoides10952",1102.82290749098,-2.7858917703676,0.425596136665171,-6.54585775189811,5.91548666442587e-11,1.05805737105994e-07,"Downregulated"
"Pastreoides10967",298.879105900899,-4.37600866767688,0.668777021196552,-6.54329997739378,6.01759530616792e-11,1.05805737105994e-07,"Downregulated"
"Pastreoides07358",80.1797485271114,-6.84703549077454,1.05085300709737,-6.51569291283391,7.23548661737654e-11,1.16617955555566e-07,"Downregulated"
"Pastreoides03063",979.589151893667,-3.81510960606083,0.590396558227716,-6.46194418462268,1.03366228421961e-10,1.53785094146858e-07,"Downregulated"
