"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Expression"
"Pastreoides47463",474.106263137336,-10.1414125288953,1.50319433477572,53.5647494341981,2.33648204563465e-12,4.60146774067287e-08,"Downregulated"
"Pastreoides43684",85.7695204537679,-10.2506665014793,1.43750621188086,47.6023392121783,4.60556989083134e-11,4.53510467150162e-07,"Downregulated"
"Pastreoides05711",127.223604131998,-8.07870736675005,1.17123449475316,43.7416219934484,3.17415016902191e-10,2.08372378095725e-06,"Downregulated"
"Pastreoides51367",140.366005007775,-8.6987566668823,1.54914980042282,41.9511517405331,7.77003803653029e-10,3.82557822728569e-06,"Downregulated"
"Pastreoides05707",60.1024618238536,-10.806798645716,1.67738554810629,39.3290121010712,2.88279349163277e-09,1.13547470048432e-05,"Downregulated"
"Pastreoides27092",245.780642756622,-8.76702118101833,1.33978191991013,36.4711855139727,1.2033243123253e-08,3.94971150115574e-05,"Downregulated"
"Pastreoides47726",72.1434782692813,-13.6475572380959,1.88863690661767,35.2551126018545,2.21029157899818e-08,6.21849747954146e-05,"Downregulated"
"Pastreoides54234",719.347783406811,-7.18756129087138,1.16927279906561,34.4382259956092,3.32532610552343e-08,6.54889723221785e-05,"Downregulated"
"Pastreoides05708",61.6221889719364,-9.58463669950018,1.48839363647114,34.6856929839993,2.9383090180527e-08,6.54889723221785e-05,"Downregulated"
"Pastreoides20615",127.228757255197,-9.68702040701491,1.66499231126111,34.524060542831,3.18563127704032e-08,6.54889723221785e-05,"Downregulated"
"Pastreoides08271",54.0160551093882,-10.2922847646654,1.74558337609548,32.2061187201248,1.01514990464676e-07,0.000181748747473757,"Downregulated"
"Pastreoides40839",87.2736904218445,-9.96111609995006,1.70444324241315,31.93201060404,1.16426542182515e-07,0.000191075360145205,"Downregulated"
"Pastreoides36461",39.8307823583751,-10.4873445402033,1.76316610051566,31.5227838133002,1.42861257254888e-07,0.000216423815413675,"Downregulated"
"Pastreoides23169",172.47592927643,-6.34194019998871,1.10708880076867,30.8706993597371,1.9793053921059e-07,0.000278431717086669,"Downregulated"
"Pastreoides43230",85.9420777551643,-8.40415864582551,1.61651891255667,30.6861182303447,2.17067143292156e-07,0.000284994687999715,"Downregulated"
"Pastreoides17266",114.970285763316,-8.10872485223255,1.43009844190422,30.2019820344465,2.76517696223619e-07,0.000340358719339247,"Downregulated"
"Pastreoides64180",88.9760224018631,-9.40128022139343,1.68049303454562,29.8157751944728,3.35418243009744e-07,0.000359738100039485,"Downregulated"
"Pastreoides00796",245.221217770213,-8.25430218968736,1.34502811563241,29.7354962660213,3.49155612506968e-07,0.000359738100039485,"Downregulated"
"Pastreoides05709",34.3101844384054,-9.98326732709771,1.76951243609434,29.6449426348293,3.65327612510902e-07,0.000359738100039485,"Downregulated"
"Pastreoides01470",54.6505986188534,-7.3908227041453,1.63145613037235,29.944229527682,3.14552524931103e-07,0.000359738100039485,"Downregulated"
