"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Expression"
"Pastreoides01779",317.543225476476,-3.81334914937993,0.515409482229359,53.999886208055,1.87963575720114e-12,2.91038391719387e-08,"Downregulated"
"Pastreoides22730",479.575098201601,2.37071418120129,0.456114185076692,53.0821448366117,2.97412148914631e-12,2.91038391719387e-08,"Upregulated"
"Pastreoides00394",1480.42352649543,2.33764966201844,0.486829431873224,52.5592427446186,3.86282871812663e-12,2.91038391719387e-08,"Upregulated"
"Pastreoides43683",249.132550703696,-1.03632105643131,0.584089617632353,50.2496814503078,1.22580196828227e-11,6.92670047227104e-08,"Downregulated"
"Pastreoides10952",1102.82290749098,2.2644372007517,0.42284203513821,46.5921531032079,7.63207278813964e-11,3.4501548246064e-07,"Upregulated"
"Pastreoides13382",775.546959454745,4.54306687518035,0.702762439342413,45.3657323066353,1.40914730978215e-10,5.30849277383433e-07,"Upregulated"
"Pastreoides11697",338.057296858093,2.82323980300671,0.587056094419285,44.4216271560149,2.25926005850399e-10,7.29515072890939e-07,"Upregulated"
"Pastreoides07358",80.1797485271114,2.21075069238759,0.771673721103057,43.7994907620534,3.08362406238299e-10,7.74435052022697e-07,"Upregulated"
"Pastreoides12813",99.5580486300329,9.89712708929492,1.41293605247518,43.8931777518813,2.94250733815544e-10,7.74435052022697e-07,"Upregulated"
"Pastreoides17065",722.107145571915,1.79069162526344,0.532642987998566,42.7201035913541,5.2898989005661e-10,1.19567584849496e-06,"Upregulated"
"Pastreoides28730",100.476828300263,6.6643420839678,0.91492580351992,42.2492394348003,6.69413126896132e-10,1.29451298578109e-06,"Upregulated"
"Pastreoides32664",58.2214648345136,7.02926236359415,1.07172533290565,42.0365291373077,7.44532531750394e-10,1.29451298578109e-06,"Upregulated"
"Pastreoides60034",36.5108449385031,10.0379117878718,1.54130117253617,42.0889392887514,7.25275419407303e-10,1.29451298578109e-06,"Upregulated"
"Pastreoides40312",1184.46202498781,2.47768932416797,0.501154230241632,41.8688218031697,8.09656605818961e-10,1.30719059009471e-06,"Upregulated"
"Pastreoides10967",298.879105900899,2.72546213035638,0.641520546234709,41.1311937063952,1.17077858382065e-09,1.76420722200654e-06,"Upregulated"
"Pastreoides57819",41.3701612315678,8.67810550951916,1.47649156604704,40.5036022377354,1.60233945078928e-09,2.01570253394149e-06,"Upregulated"
"Pastreoides49534",565.357506643347,2.17510393057227,0.485651888832483,40.3918834237953,1.69439225522666e-09,2.01570253394149e-06,"Upregulated"
"Pastreoides00472",1256.18695508481,2.58630357665283,0.597886409211265,40.4190674513099,1.67151785909246e-09,2.01570253394149e-06,"Upregulated"
"Pastreoides58738",225.5965952215,2.6871051539868,0.482913871576197,40.5098743895738,1.59732226387482e-09,2.01570253394149e-06,"Upregulated"
"Pastreoides42929",992.768230598854,2.37663459617056,0.503014592189526,40.0913499292279,1.96912813226694e-09,2.22541015868148e-06,"Upregulated"
"Pastreoides28928",79.8470901125889,4.21065306167353,0.729859286529843,38.2350849177783,4.98146177985921e-09,5.36171336238846e-06,"Upregulated"
"Pastreoides04910",187.824255314444,2.49172051497308,0.527200359982542,37.8758911575018,5.96148885755824e-09,6.12488784760859e-06,"Upregulated"
"Pastreoides06146",116.722007262295,-4.12239144409894,0.752534934087448,37.1441656465149,8.59502041189543e-09,8.44666288565532e-06,"Downregulated"
"Pastreoides16262",361.36592755727,1.7263598272873,0.621716143496045,37.0514696654301,9.0027582646381e-09,8.47872271065062e-06,"Upregulated"
"Pastreoides04842",88.1205054611622,9.27713748487121,1.40194122434844,36.866093161318,9.87710306072555e-09,8.93008641926319e-06,"Upregulated"
"Pastreoides14684",615.620163308208,2.32348784566362,0.50440529296454,36.5949289461437,1.13112902476638e-08,9.83342667184406e-06,"Upregulated"
"Pastreoides43442",151.701655731568,3.07910206301841,0.652907435428228,36.2485125110204,1.34504099002193e-08,1.12599857398021e-05,"Upregulated"
"Pastreoides04078",55.5570884358911,4.79473292160082,0.746508348755054,35.6824581620367,1.78505934813538e-08,1.39129987744496e-05,"Upregulated"
"Pastreoides47781",145.834733914432,6.01939802978894,0.896450023560696,35.6890433644557,1.77919152506858e-08,1.39129987744496e-05,"Upregulated"
"Pastreoides03514",108.678307391325,3.2750803289519,0.640638958913404,35.530151360538,1.92630770366935e-08,1.40452687180769e-05,"Upregulated"
"Pastreoides16120",37.5584705945237,7.87107146244871,1.45163160741922,35.5767662525402,1.88192957032676e-08,1.40452687180769e-05,"Upregulated"
"Pastreoides52806",560.658287840207,8.65350970514698,1.05982399038183,35.0606230584504,2.43602890301799e-08,1.72067379046612e-05,"Upregulated"
"Pastreoides23626",408.876237567153,1.68926749480074,0.456643394052175,34.8212650944221,2.74573334722775e-08,1.88066093476936e-05,"Upregulated"
"Pastreoides20605",89.6550767007289,3.0625019151546,0.799979841960567,34.5683750487118,3.11582267843364e-08,2.07138058825399e-05,"Upregulated"
"Pastreoides16116",793.903875235003,2.36549669240308,0.467869670064193,34.3696347229722,3.44134843833526e-08,2.22242282147691e-05,"Upregulated"
"Pastreoides03975",1446.20724614385,1.93691202803732,0.434408913318554,34.2451310813139,3.66238730277151e-08,2.29797039353885e-05,"Upregulated"
"Pastreoides13732",81.1412466229916,10.0170426400463,1.48537287400433,34.1916383527471,3.76166458261901e-08,2.29797039353885e-05,"Upregulated"
"Pastreoides36399",115.790148524647,1.58243864209459,0.746820096446584,33.7976612161957,4.58069226310847e-08,2.4899214083676e-05,"Upregulated"
"Pastreoides03063",979.589151893667,1.99696686917252,0.58515270034982,33.6950577817238,4.82182194289193e-08,2.4899214083676e-05,"Upregulated"
"Pastreoides23909",65.9328358272353,7.61338511984652,1.11773833630361,33.7951489076488,4.586449934775e-08,2.4899214083676e-05,"Upregulated"
"Pastreoides43031",49.3534995169742,9.83446572103326,1.59166171056358,33.7311833067368,4.73550839557525e-08,2.4899214083676e-05,"Upregulated"
"Pastreoides52204",50.4008269254638,5.8184892036594,0.982114987862834,33.6846452075833,4.84699119445093e-08,2.4899214083676e-05,"Upregulated"
"Pastreoides35854",44.6960700356919,9.44240555039569,1.54893363173325,33.7801670009709,4.62093582205116e-08,2.4899214083676e-05,"Upregulated"
"Pastreoides09907",99.4588797900272,-0.794004085217441,0.839150987820272,33.880590033422,4.39464048658299e-08,2.4899214083676e-05,"Downregulated"
"Pastreoides03153",47.8885907056698,8.78386726822625,1.35570876795724,33.49681963644,5.32424504380132e-08,2.67430912722314e-05,"Upregulated"
"Pastreoides57301",245.320828805874,2.17947438775436,0.536368452524477,33.4460122490972,5.46123316911017e-08,2.68348376785646e-05,"Upregulated"
"Pastreoides12982",3620.78299262729,2.46316665938637,0.561864910441631,33.3271930726034,5.79551421814081e-08,2.78714910367312e-05,"Upregulated"
"Pastreoides15962",158.371168758277,0.998177268223506,0.525742247567706,33.2645093476242,5.98003290311324e-08,2.79201257539671e-05,"Upregulated"
"Pastreoides17358",40.2564042898293,7.28177753420182,1.34386941500719,33.2403607954026,6.05267514022205e-08,2.79201257539671e-05,"Upregulated"
"Pastreoides51490",142.550724629876,1.97678329428657,0.759602176047885,32.8993965231045,7.17772501375249e-08,3.24476236971695e-05,"Upregulated"
"Pastreoides29150",63.3371204640361,4.27471575610222,0.790694849339445,32.8163643489952,7.48198827967161e-08,3.25221886702726e-05,"Upregulated"
"Pastreoides31609",51.2920130940238,5.18141387491892,0.861073616438203,32.8276090268704,7.44004003974868e-08,3.25221886702726e-05,"Upregulated"
"Pastreoides34857",181.584717825023,2.46374159074595,0.563596712012157,32.5722135366453,8.4534443663034e-08,3.60515477380294e-05,"Upregulated"
"Pastreoides20804",77.0433577130684,5.4857544698831,0.912153631287484,32.379488445135,9.30857968254456e-08,3.89633012156583e-05,"Upregulated"
"Pastreoides58643",100.6255639579,7.32295325229149,1.09348764184008,32.2958653663948,9.70603697771707e-08,3.98882825104253e-05,"Upregulated"
"Pastreoides21435",122.410085316611,-3.98846727262077,0.696142600774086,32.1741211137404,1.03152170356486e-07,4.16347947601368e-05,"Downregulated"
"Pastreoides62647",116.377850285954,2.29114850405944,0.588846098946112,32.0538371358811,1.09546297597315e-07,4.34399116595107e-05,"Upregulated"
"Pastreoides10404",62.8380661367356,6.86221202511646,1.05603025299195,31.8514450664882,1.21212269705152e-07,4.72372574507853e-05,"Upregulated"
"Pastreoides43748",27.5070209289791,7.53418251327673,1.45567832743777,31.5684256697267,1.39637950078375e-07,5.22692598087234e-05,"Upregulated"
"Pastreoides52103",78.7538341941144,-2.67401682312978,0.966831184798795,31.5481323637995,1.41062020454459e-07,5.22692598087234e-05,"Downregulated"
"Pastreoides34065",66.0683482843463,9.73548579598749,1.64741700304161,31.554770983106,1.40594568166897e-07,5.22692598087234e-05,"Upregulated"
"Pastreoides41090",42.9061432318822,9.80034531179007,1.586678543356,31.502821451042,1.44294321278398e-07,5.26045894170264e-05,"Upregulated"
"Pastreoides40786",38.877609034031,8.38519037406268,1.49503121022015,31.3445080371928,1.56180410771973e-07,5.5158528510608e-05,"Upregulated"
"Pastreoides20407",268.119871944454,2.05651561029993,0.579275467768142,31.3664081588607,1.54479555004904e-07,5.5158528510608e-05,"Upregulated"
"Pastreoides15213",389.150822369033,2.10460857271208,0.599987710882046,31.2509882680759,1.63656824668264e-07,5.6909772430412e-05,"Upregulated"
"Pastreoides27232",50.1690358768912,9.80168542284199,1.63195576164979,31.1949945848484,1.6830344064684e-07,5.76388283172806e-05,"Upregulated"
"Pastreoides25953",93.5420335410385,2.1284376018541,0.659402756175738,31.1567961142076,1.71548800962007e-07,5.78733962409589e-05,"Upregulated"
"Pastreoides34489",1186.7194102122,0.160754007479288,0.53693031028245,31.0428083598964,1.81610022931499e-07,5.95515956216281e-05,"Unchanged"
"Pastreoides28817",42.3424415910038,8.57016042812139,1.48262471264993,31.0407977661691,1.81792686718238e-07,5.95515956216281e-05,"Upregulated"
"Pastreoides05707",117.969013426337,1.37132109318469,0.58315778191161,30.7443642360957,2.1083666177806e-07,6.71202967066127e-05,"Upregulated"
"Pastreoides43139",89.9522491692511,4.60681624864363,0.725582035118199,30.7651937748975,2.08652241426339e-07,6.71202967066127e-05,"Upregulated"
"Pastreoides43620",62.0797813260989,3.44687710965088,0.655571209839708,30.5977125272892,2.26877352316329e-07,7.12237332556388e-05,"Upregulated"
"Pastreoides02869",228.93501985291,-1.85723885153946,0.660433965183888,30.5547042547961,2.31808989063672e-07,7.17750490384407e-05,"Downregulated"
"Pastreoides36148",242.788559929221,1.62211280391975,0.607987465330566,30.5200646025304,2.3585885066159e-07,7.2042129750053e-05,"Upregulated"
"Pastreoides08199",107.518312719328,1.05990983794421,0.683896982719041,30.4211924457931,2.47811806676288e-07,7.42825794570241e-05,"Upregulated"
"Pastreoides20657",839.215906789258,1.51414857774643,0.414251379870056,30.4054773509576,2.49766669855056e-07,7.42825794570241e-05,"Upregulated"
"Pastreoides02070",53.9847201600639,6.79672137219345,1.03987102241201,30.2311522980103,2.72513917976268e-07,7.99952219223062e-05,"Upregulated"
