ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0010595,positive regulation of endothelial cell migration,4/106,59/26731,0.06779661016949153,17.096897985289413,7.809945622504427,8.988553179580823e-5,0.05033589780565261,0.04541584764419784,Pastreoides44736/Pastreoides10199/Pastreoides56557/Pastreoides33720,4
GO:0048557,embryonic digestive tract morphogenesis,3/106,28/26731,0.10714285714285714,27.019204851752022,8.69161762556664,1.84719167638409e-4,0.05172136693875452,0.04666589498233491,Pastreoides44736/Pastreoides62726/Pastreoides36042,3
GO:0035807,induction of blood coagulation in another organism,2/106,10/26731,0.2,50.43584905660378,9.865594201668609,6.865607211377748e-4,0.09611850095928848,0.08672345951213997,Pastreoides38396/Pastreoides10199,2
GO:0044469,venom-mediated blood coagulation,2/106,10/26731,0.2,50.43584905660378,9.865594201668609,6.865607211377748e-4,0.09611850095928848,0.08672345951213997,Pastreoides38396/Pastreoides10199,2
GO:0005021,vascular endothelial growth factor receptor activity,2/106,14/26731,0.14285714285714285,36.02560646900269,8.271103211610411,0.0013740693001532483,0.1290814329468245,0.11646445077908978,Pastreoides10199/Pastreoides16989,2
GO:0048483,autonomic nervous system development,2/106,15/26731,0.13333333333333333,33.62389937106918,7.974498574840933,0.0015813666997725258,0.1290814329468245,0.11646445077908978,Pastreoides38396/Pastreoides10199,2
GO:0008201,heparin binding,4/106,126/26731,0.031746031746031744,8.005690326445043,4.973500671783999,0.0016135179118353063,0.1290814329468245,0.11646445077908978,Pastreoides25628/Pastreoides59597/Pastreoides16989/Pastreoides63226,4
GO:0015074,DNA integration,5/106,228/26731,0.021929824561403508,5.530246607083747,4.334603254972687,0.0021779695846180394,0.15245787092326277,0.13755597376534986,Pastreoides37480/Pastreoides23491/Pastreoides14136/Pastreoides21359/Pastreoides36245,5
GO:2001065,mannan binding,2/106,19/26731,0.10526315789473684,26.545183714001986,7.0281372096824395,0.0025488658001973307,0.15859609423450058,0.1430942203619554,Pastreoides00351/Pastreoides48081,2
GO:0005662,DNA replication factor A complex,3/106,75/26731,0.04,10.087169811320754,4.972438144846423,0.0033268040532056994,0.18630102697951917,0.16809115216197218,Pastreoides47835/Pastreoides54208/Pastreoides31004,3
GO:1903028,positive regulation of opsonization,2/106,23/26731,0.08695652173913043,21.928630024610335,6.3356567266494315,0.0037323673301000978,0.19001142771418678,0.17143888214813846,Pastreoides00351/Pastreoides48081,2
GO:0042063,gliogenesis,2/106,26/26731,0.07692307692307693,19.398403483309146,5.922132575521637,0.004757573864294177,0.20356783779881754,0.18367022959291807,Pastreoides10770/Pastreoides50354,2
GO:1905370,serine-type endopeptidase complex,2/106,26/26731,0.07692307692307693,19.398403483309146,5.922132575521637,0.004757573864294177,0.20356783779881754,0.18367022959291807,Pastreoides00351/Pastreoides48081,2
GO:0001527,microfibril,3/106,88/26731,0.03409090909090909,8.59701972555746,4.5040233310767555,0.005209384280161384,0.20356783779881754,0.18367022959291807,Pastreoides33720/Pastreoides63226/Pastreoides61477,3
GO:0043654,recognition of apoptotic cell,2/106,28/26731,0.07142857142857142,18.012803234501344,5.683063002724013,0.005504965014799209,0.20356783779881754,0.18367022959291807,Pastreoides00351/Pastreoides48081,2
GO:0001867,"complement activation, lectin pathway",2/106,29/26731,0.06896551724137931,17.391672088484057,5.57260120437671,0.005897522431121219,0.20356783779881754,0.18367022959291807,Pastreoides00351/Pastreoides48081,2
GO:0006289,nucleotide-excision repair,3/106,97/26731,0.030927835051546393,7.799358101536666,4.2329504813521694,0.0068219858032379475,0.20356783779881754,0.18367022959291807,Pastreoides47835/Pastreoides54208/Pastreoides31004,3
GO:0043394,proteoglycan binding,2/106,32/26731,0.0625,15.76120283018868,5.271774718951088,0.007149401847989854,0.20356783779881754,0.18367022959291807,Pastreoides00351/Pastreoides48081,2
GO:0048812,neuron projection morphogenesis,3/106,100/26731,0.03,7.565377358490566,4.150243323507197,0.007418149790311248,0.20356783779881754,0.18367022959291807,Pastreoides10770/Pastreoides04610/Pastreoides50354,3
GO:0070050,neuron cellular homeostasis,2/106,33/26731,0.06060606060606061,15.283590623213264,5.180391759969126,0.007591089758642174,0.20356783779881754,0.18367022959291807,Pastreoides25628/Pastreoides59597,2
GO:0008233,peptidase activity,5/106,307/26731,0.016286644951140065,4.107153831970992,3.4549380653857096,0.007633793917455657,0.20356783779881754,0.18367022959291807,Pastreoides48045/Pastreoides52144/Pastreoides63886/Pastreoides10907/Pastreoides28536,5
GO:0003148,outflow tract septum morphogenesis,2/106,34/26731,0.058823529411764705,14.834073251942288,5.09290883861195,0.008044806087772987,0.20477688223422147,0.18476109675268104,Pastreoides44736/Pastreoides16989,2
GO:0009566,fertilization,2/106,35/26731,0.05714285714285714,14.410242587601077,5.0090476531103425,0.00851045035330683,0.20721096512399237,0.18695726176600813,Pastreoides25628/Pastreoides59597,2
GO:0045766,positive regulation of angiogenesis,3/106,113/26731,0.02654867256637168,6.695024211053599,3.82784805144172,0.010351442369113697,0.24153365527931958,0.21792510250765676,Pastreoides44736/Pastreoides17357/Pastreoides56557,3
GO:0007275,multicellular organism development,4/106,220/26731,0.01818181818181818,4.5850771869639795,3.3690262888443407,0.011543644946605097,0.25087224359968363,0.22635089648091755,Pastreoides46741/Pastreoides17593/Pastreoides25170/Pastreoides60417,4
GO:0051094,positive regulation of developmental process,3/106,119/26731,0.025210084033613446,6.357459965118123,3.695738732046366,0.011901456489319314,0.25087224359968363,0.22635089648091755,Pastreoides27215/Pastreoides63226/Pastreoides60417,3
GO:1904315,transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential,2/106,42/26731,0.047619047619047616,12.008535489667565,4.505008813887764,0.012095626030699034,0.25087224359968363,0.22635089648091755,Pastreoides04438/Pastreoides05172,2
GO:0005080,protein kinase C binding,2/106,43/26731,0.046511627906976744,11.729267222465992,4.442770495357882,0.012653147143227806,0.25113047441144176,0.22658388668701512,Pastreoides25628/Pastreoides59597,2
GO:0001755,neural crest cell migration,3/106,123/26731,0.024390243902439025,6.150713299585826,3.6126128328048366,0.013004970996306806,0.25113047441144176,0.22658388668701512,Pastreoides38396/Pastreoides10199/Pastreoides16989,3
GO:1901163,regulation of trophoblast cell migration,2/106,45/26731,0.044444444444444446,11.207966457023062,4.3242555763654105,0.013801244664479228,0.2576232337369456,0.23244201540175538,Pastreoides63226/Pastreoides61477,2
