ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:2001065,mannan binding,3/160,19/26731,0.15789473684210525,26.379276315789475,8.587333954486635,1.900563842666738e-4,0.07966185211045441,0.07323093804418028,Pastreoides00351/Pastreoides48081/Pastreoides37004,3
GO:1903028,positive regulation of opsonization,3/160,23/26731,0.13043478260869565,21.79157608695652,7.740805711486298,3.4130546989228543e-4,0.07966185211045441,0.07323093804418028,Pastreoides00351/Pastreoides48081/Pastreoides37004,3
GO:0010595,positive regulation of endothelial cell migration,4/160,59/26731,0.06779661016949153,11.326694915254237,6.16190619069496,4.354669984638821e-4,0.07966185211045441,0.07323093804418028,Pastreoides44736/Pastreoides10199/Pastreoides56557/Pastreoides33720,4
GO:1905370,serine-type endopeptidase complex,3/160,26/26731,0.11538461538461539,19.27716346153846,7.2352692901361655,4.945133394446234e-4,0.07966185211045441,0.07323093804418028,Pastreoides00351/Pastreoides48081/Pastreoides37004,3
GO:0043654,recognition of apoptotic cell,3/160,28/26731,0.10714285714285714,17.900223214285713,6.942996550962838,6.176434261687944e-4,0.07966185211045441,0.07323093804418028,Pastreoides00351/Pastreoides48081/Pastreoides37004,3
GO:0048557,embryonic digestive tract morphogenesis,3/160,28/26731,0.10714285714285714,17.900223214285713,6.942996550962838,6.176434261687944e-4,0.07966185211045441,0.07323093804418028,Pastreoides44736/Pastreoides62726/Pastreoides36042,3
GO:0001867,"complement activation, lectin pathway",3/160,29/26731,0.10344827586206896,17.282974137931035,6.807949996690072,6.858954056250687e-4,0.07966185211045441,0.07323093804418028,Pastreoides00351/Pastreoides48081/Pastreoides37004,3
GO:0030169,low-density lipoprotein particle binding,3/160,32/26731,0.09375,15.6626953125,6.440162453708178,9.188834805832547e-4,0.08003960740571561,0.07357819804241353,Pastreoides18805/Pastreoides17357/Pastreoides04728,3
GO:0043394,proteoglycan binding,3/160,32/26731,0.09375,15.6626953125,6.440162453708178,9.188834805832547e-4,0.08003960740571561,0.07357819804241353,Pastreoides00351/Pastreoides48081/Pastreoides37004,3
GO:0008201,heparin binding,5/160,126/26731,0.03968253968253968,6.629712301587301,4.915247187416543,9.844970160604626e-4,0.08003960740571561,0.07357819804241353,Pastreoides53778/Pastreoides25628/Pastreoides59597/Pastreoides16989/Pastreoides63226,5
GO:0035807,induction of blood coagulation in another organism,2/160,10/26731,0.2,33.41375000000001,7.955334507554031,0.001552455623524067,0.10517886849375553,0.09668802567562172,Pastreoides38396/Pastreoides10199,2
GO:0044469,venom-mediated blood coagulation,2/160,10/26731,0.2,33.41375000000001,7.955334507554031,0.001552455623524067,0.10517886849375553,0.09668802567562172,Pastreoides38396/Pastreoides10199,2
GO:1904315,transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential,3/160,42/26731,0.07142857142857142,11.933482142857141,5.502657922277694,0.002035728021737909,0.12244298060125088,0.11255844659401583,Pastreoides04438/Pastreoides05172/Pastreoides55420,3
