ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006814,sodium ion transport,3/50,87/26731,0.034482758620689655,18.4351724137931,7.0513064631234394,5.843458894337741e-4,0.0830443915071877,0.05678248991944458,Pastreoides31079/Pastreoides11240/Pastreoides18561,3
GO:0030544,Hsp70 protein binding,3/50,93/26731,0.03225806451612903,17.245806451612903,6.793840895896514,7.097811239930573e-4,0.0830443915071877,0.05678248991944458,Pastreoides18805/Pastreoides56241/Pastreoides27917,3
GO:0002726,positive regulation of T cell cytokine production,2/50,30/26731,0.06666666666666667,35.641333333333336,8.218165701388626,0.0014424416272669142,0.0875457337343157,0.059860330758506455,Pastreoides61681/Pastreoides17130,2
GO:0035631,CD40 receptor complex,2/50,33/26731,0.06060606060606061,32.40121212121212,7.81353295738903,0.0017445672452068865,0.0875457337343157,0.059860330758506455,Pastreoides61681/Pastreoides17130,2
GO:0009790,embryo development,3/50,144/26731,0.020833333333333332,11.137916666666666,5.280544725695,0.0024932832701949764,0.0875457337343157,0.059860330758506455,Pastreoides61096/Pastreoides33325/Pastreoides45805,3
GO:0007250,activation of NF-kappaB-inducing kinase activity,2/50,40/26731,0.05,26.731000000000005,7.049976477291517,0.002555770468610286,0.0875457337343157,0.059860330758506455,Pastreoides61681/Pastreoides17130,2
GO:0098662,inorganic cation transmembrane transport,2/50,41/26731,0.04878048780487805,26.0790243902439,6.9568351022441135,0.0026836339462324057,0.0875457337343157,0.059860330758506455,Pastreoides31079/Pastreoides18561,2
GO:0005272,sodium channel activity,2/50,46/26731,0.043478260869565216,23.244347826086955,6.536547473993424,0.0033671436051659885,0.0875457337343157,0.059860330758506455,Pastreoides11240/Pastreoides18561,2
GO:0032743,positive regulation of interleukin-2 production,2/50,46/26731,0.043478260869565216,23.244347826086955,6.536547473993424,0.0033671436051659885,0.0875457337343157,0.059860330758506455,Pastreoides61681/Pastreoides17130,2
GO:0031996,thioesterase binding,2/50,52/26731,0.038461538461538464,20.562307692307694,6.112521701064069,0.0042831292832207065,0.10022522522736453,0.06853006853153129,Pastreoides61681/Pastreoides17130,2
GO:0033209,tumor necrosis factor-mediated signaling pathway,2/50,57/26731,0.03508771929824561,18.75859649122807,5.810124303351667,0.0051246707658273785,0.10901572356396423,0.07454066568476188,Pastreoides61681/Pastreoides17130,2
