ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0090733,tenascin complex,4/150,23/26731,0.17391304347826086,30.99246376811594,10.80972954689029,7.76233196319576e-6,0.006217627902519804,0.005940226670782441,Pastreoides19571/Pastreoides42135/Pastreoides21670/Pastreoides48426,4
GO:0005178,integrin binding,5/150,92/26731,0.05434782608695652,9.685144927536232,6.2686132421355785,1.7282045451743187e-4,0.05656083296160768,0.054037355362492656,Pastreoides19571/Pastreoides42135/Pastreoides21670/Pastreoides48426/Pastreoides26997,5
GO:0051971,positive regulation of transmission of nerve impulse,3/150,22/26731,0.13636363636363635,24.30090909090909,8.213246230142195,2.466221310663941e-4,0.05656083296160768,0.054037355362492656,Pastreoides19571/Pastreoides42135/Pastreoides21670,3
GO:0048692,negative regulation of axon extension involved in regeneration,3/150,23/26731,0.13043478260869565,23.24434782608696,8.01719344586081,2.8245110093187356e-4,0.05656083296160768,0.054037355362492656,Pastreoides19571/Pastreoides42135/Pastreoides21670,3
GO:0022029,telencephalon cell migration,3/150,27/26731,0.1111111111111111,19.80074074074074,7.342232523634733,4.58890067328907e-4,0.0735141887860909,0.07023433241012955,Pastreoides19571/Pastreoides42135/Pastreoides21670,3
GO:0022408,negative regulation of cell-cell adhesion,3/150,31/26731,0.0967741935483871,17.245806451612903,6.7987010080254455,6.937098181519194e-4,0.07632904556535772,0.07292360355610102,Pastreoides19571/Pastreoides42135/Pastreoides21670,3
GO:0072534,perineuronal net,3/150,31/26731,0.0967741935483871,17.245806451612903,6.7987010080254455,6.937098181519194e-4,0.07632904556535772,0.07292360355610102,Pastreoides19571/Pastreoides42135/Pastreoides21670,3
GO:0004190,aspartic-type endopeptidase activity,3/150,32/26731,0.09375,16.706875,6.6784661668435685,7.623375337364066e-4,0.07632904556535772,0.07292360355610102,Pastreoides30981/Pastreoides53953/Pastreoides26995,3
GO:0035641,locomotory exploration behavior,3/150,38/26731,0.07894736842105263,14.068947368421053,6.05610177775142,0.0012650762895956564,0.07809154216862384,0.07460746587369674,Pastreoides19571/Pastreoides42135/Pastreoides21670,3
GO:0046625,sphingolipid binding,3/150,38/26731,0.07894736842105263,14.068947368421053,6.05610177775142,0.0012650762895956564,0.07809154216862384,0.07460746587369674,Pastreoides42135/Pastreoides61681/Pastreoides21670,3
GO:0051968,"positive regulation of synaptic transmission, glutamatergic",3/150,38/26731,0.07894736842105263,14.068947368421053,6.05610177775142,0.0012650762895956564,0.07809154216862384,0.07460746587369674,Pastreoides19571/Pastreoides42135/Pastreoides21670,3
GO:0009790,embryo development,5/150,144/26731,0.034722222222222224,6.187731481481482,4.689035473008614,0.0013392775745334714,0.07809154216862384,0.07460746587369674,Pastreoides03780/Pastreoides61096/Pastreoides33325/Pastreoides45805/Pastreoides54288,5
GO:0005164,tumor necrosis factor receptor binding,4/150,85/26731,0.047058823529411764,8.386196078431373,5.12358251367923,0.0013557328099072059,0.07809154216862384,0.07460746587369674,Pastreoides61698/Pastreoides61681/Pastreoides17130/Pastreoides25125,4
GO:0032590,dendrite membrane,3/150,39/26731,0.07692307692307693,13.70820512820513,5.966029726237992,0.0013648958681157725,0.07809154216862384,0.07460746587369674,Pastreoides60474/Pastreoides54508/Pastreoides55002,3
GO:0006814,sodium ion transport,4/150,87/26731,0.04597701149425287,8.193409961685823,5.048404869954252,0.001477560940803252,0.07890175423889366,0.07538153010273434,Pastreoides31079/Pastreoides11240/Pastreoides18561/Pastreoides39305,4
GO:0050805,negative regulation of synaptic transmission,3/150,44/26731,0.06818181818181818,12.150454545454545,5.560687423416876,0.0019378958366947868,0.09701591032453277,0.09268751797875725,Pastreoides19571/Pastreoides42135/Pastreoides21670,3
GO:0008520,L-ascorbate:sodium symporter activity,2/150,13/26731,0.15384615384615385,27.41641025641026,7.156537565802533,0.00234276856030689,0.098766190358201,0.09435970877247142,Pastreoides39306/Pastreoides39305,2
GO:0015229,L-ascorbic acid transmembrane transporter activity,2/150,13/26731,0.15384615384615385,27.41641025641026,7.156537565802533,0.00234276856030689,0.098766190358201,0.09435970877247142,Pastreoides39306/Pastreoides39305,2
GO:0015882,L-ascorbic acid transmembrane transport,2/150,13/26731,0.15384615384615385,27.41641025641026,7.156537565802533,0.00234276856030689,0.098766190358201,0.09435970877247142,Pastreoides39306/Pastreoides39305,2
GO:0019852,L-ascorbic acid metabolic process,2/150,15/26731,0.13333333333333333,23.76088888888889,6.623820913384418,0.0031306033673801593,0.12538066486357538,0.1197867709518619,Pastreoides39306/Pastreoides39305,2
GO:0008306,associative learning,4/150,109/26731,0.03669724770642202,6.539694189602447,4.35349601666263,0.0033585808819649086,0.12685235186184657,0.12119279821744199,Pastreoides19571/Pastreoides42135/Pastreoides30981/Pastreoides21670,4
GO:0060291,long-term synaptic potentiation,3/150,54/26731,0.05555555555555555,9.90037037037037,4.9180837038073175,0.0034840845704876716,0.12685235186184657,0.12119279821744199,Pastreoides19571/Pastreoides42135/Pastreoides21670,3
GO:0070410,co-SMAD binding,2/150,17/26731,0.11764705882352941,20.96549019607843,6.185779409196121,0.004025172095074786,0.1401809933980393,0.13392677863246544,Pastreoides30285/Pastreoides13233,2
GO:0098686,hippocampal mossy fiber to CA3 synapse,3/150,66/26731,0.045454545454545456,8.10030303030303,4.3384790945714675,0.006120992476830873,0.20428812391423037,0.19517375134456336,Pastreoides19571/Pastreoides42135/Pastreoides21670,3
GO:0031047,regulatory ncRNA-mediated gene silencing,3/150,67/26731,0.04477611940298507,7.9794029850746275,4.296872597984689,0.0063819073275495726,0.2044763107746883,0.19535354219488588,Pastreoides43643/Pastreoides45805/Pastreoides05720,3
GO:0004197,cysteine-type endopeptidase activity,4/150,133/26731,0.03007518796992481,5.359598997493734,3.78623289960303,0.006783882025189024,0.2053946013961978,0.1962308630199564,Pastreoides03586/Pastreoides30285/Pastreoides31158/Pastreoides06267,4
GO:0050885,neuromuscular process controlling balance,3/150,69/26731,0.043478260869565216,7.748115942028985,4.216189965204123,0.006923413530208915,0.2053946013961978,0.1962308630199564,Pastreoides19571/Pastreoides42135/Pastreoides21670,3
GO:0048557,embryonic digestive tract morphogenesis,2/150,28/26731,0.07142857142857142,12.729047619047618,4.6646728277122325,0.010745473593864305,0.30739729816733247,0.29368268055411095,Pastreoides44736/Pastreoides62726,2
GO:0071705,nitrogen compound transport,3/150,84/26731,0.03571428571428571,6.364523809523809,3.6991855030406717,0.01184780440424029,0.3272445285447059,0.3126444211209688,Pastreoides31310/Pastreoides33325/Pastreoides31311,3
GO:0002726,positive regulation of T cell cytokine production,2/150,30/26731,0.06666666666666667,11.880444444444445,4.479225747897886,0.012275758679762367,0.3272715955264008,0.3126702805016011,Pastreoides61681/Pastreoides17130,2
GO:0035904,aorta development,2/150,31/26731,0.06451612903225806,11.497204301075268,4.392970806080484,0.013074520670218259,0.3272715955264008,0.3126702805016011,Pastreoides13233/Pastreoides06589,2
GO:0071361,cellular response to ethanol,2/150,31/26731,0.06451612903225806,11.497204301075268,4.392970806080484,0.013074520670218259,0.3272715955264008,0.3126702805016011,Pastreoides39306/Pastreoides39305,2
GO:0005245,voltage-gated calcium channel activity,2/150,33/26731,0.06060606060606061,10.80040404040404,4.2317600807865166,0.014737926136816164,0.33776294282252217,0.322693553363524,Pastreoides31079/Pastreoides06589,2
GO:0035631,CD40 receptor complex,2/150,33/26731,0.06060606060606061,10.80040404040404,4.2317600807865166,0.014737926136816164,0.33776294282252217,0.322693553363524,Pastreoides61681/Pastreoides17130,2
GO:0051240,positive regulation of multicellular organismal process,4/150,169/26731,0.023668639053254437,4.217909270216962,3.152435519526987,0.015313019681710357,0.33776294282252217,0.322693553363524,Pastreoides38985/Pastreoides11396/Pastreoides13233/Pastreoides27215,4
GO:0030544,Hsp70 protein binding,3/150,93/26731,0.03225806451612903,5.748602150537634,3.4460049981791987,0.01555889090174449,0.33776294282252217,0.322693553363524,Pastreoides18805/Pastreoides56241/Pastreoides27917,3
GO:0003148,outflow tract septum morphogenesis,2/150,34/26731,0.058823529411764705,10.482745098039215,4.156250889339266,0.015602033563587166,0.33776294282252217,0.322693553363524,Pastreoides44736/Pastreoides13233,2
GO:1903861,positive regulation of dendrite extension,2/150,35/26731,0.05714285714285714,10.183238095238096,4.083816514281552,0.016487390554661713,0.3475368377443166,0.3320313831922179,Pastreoides39306/Pastreoides39305,2
GO:0048562,embryonic organ morphogenesis,2/150,38/26731,0.05263157894736842,9.379298245614034,3.882935753815302,0.019268346623632214,0.3580581050721353,0.3420832411951408,Pastreoides44736/Pastreoides13079,2
GO:0045669,positive regulation of osteoblast differentiation,4/150,184/26731,0.021739130434782608,3.8740579710144925,2.9387061481931473,0.020247034697157794,0.3580581050721353,0.3420832411951408,Pastreoides19468/Pastreoides51144/Pastreoides56773/Pastreoides59597,4
GO:0007158,neuron cell-cell adhesion,3/150,103/26731,0.02912621359223301,5.190485436893204,3.200907507638254,0.020366484834847206,0.3580581050721353,0.3420832411951408,Pastreoides19571/Pastreoides42135/Pastreoides21670,3
GO:0030246,carbohydrate binding,4/150,185/26731,0.021621621621621623,3.853117117117117,2.925266041912729,0.02060681816941146,0.3580581050721353,0.3420832411951408,Pastreoides60018/Pastreoides48744/Pastreoides42135/Pastreoides21670,4
GO:0007250,activation of NF-kappaB-inducing kinase activity,2/150,40/26731,0.05,8.910333333333334,3.7609867968549717,0.021223814879971492,0.3580581050721353,0.3420832411951408,Pastreoides61681/Pastreoides17130,2
GO:0048568,embryonic organ development,2/150,40/26731,0.05,8.910333333333334,3.7609867968549717,0.021223814879971492,0.3580581050721353,0.3420832411951408,Pastreoides44736/Pastreoides23811,2
GO:0030282,bone mineralization,2/150,41/26731,0.04878048780487805,8.693008130081301,3.70316688394245,0.022231237798376675,0.3580581050721353,0.3420832411951408,Pastreoides44736/Pastreoides16064,2
GO:0098662,inorganic cation transmembrane transport,2/150,41/26731,0.04878048780487805,8.693008130081301,3.70316688394245,0.022231237798376675,0.3580581050721353,0.3420832411951408,Pastreoides31079/Pastreoides18561,2
GO:0031625,ubiquitin protein ligase binding,5/150,284/26731,0.017605633802816902,3.137441314553991,2.720348930629274,0.022272782014225282,0.3580581050721353,0.3420832411951408,Pastreoides61681/Pastreoides17130/Pastreoides49893/Pastreoides30285/Pastreoides13233,5
