ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006310,DNA recombination,28/1631,212/26731,0.1320754716981132,2.1646287148756986,4.339767386514338,9.914436325836989e-5,0.12101870547100838,0.11924863629441762,Pastreoides59262/Pastreoides43434/Pastreoides26152/Pastreoides22847/Pastreoides00812/Pastreoides61890/Pastreoides53269/Pastreoides37478/Pastreoides14629/Pastreoides39845/Pastreoides18414/Pastreoides46204/Pastreoides43025/Pastreoides07093/Pastreoides36668/Pastreoides33007/Pastreoides09584/Pastreoides06018/Pastreoides38390/Pastreoides37732/Pastreoides10874/Pastreoides02151/Pastreoides35005/Pastreoides28399/Pastreoides48860/Pastreoides46475/Pastreoides11905/Pastreoides37146,28
GO:0003964,RNA-directed DNA polymerase activity,15/1631,82/26731,0.18292682926829268,2.998048481404495,4.619150247802093,1.1718529433985641e-4,0.12101870547100838,0.11924863629441762,Pastreoides48044/Pastreoides54913/Pastreoides55860/Pastreoides37802/Pastreoides26940/Pastreoides27330/Pastreoides12208/Pastreoides50116/Pastreoides23904/Pastreoides59433/Pastreoides59576/Pastreoides61165/Pastreoides30957/Pastreoides42225/Pastreoides34868,15
GO:0006313,DNA transposition,7/1631,20/26731,0.35,5.7362660944206,5.401266641430569,1.1897037760736934e-4,0.12101870547100838,0.11924863629441762,Pastreoides48044/Pastreoides54913/Pastreoides55860/Pastreoides06898/Pastreoides27330/Pastreoides46204/Pastreoides30957,7
GO:0006278,RNA-templated DNA biosynthetic process,15/1631,83/26731,0.18072289156626506,2.961927415363477,4.563302630771357,1.3506551949889328e-4,0.12101870547100838,0.11924863629441762,Pastreoides48044/Pastreoides54913/Pastreoides55860/Pastreoides37802/Pastreoides26940/Pastreoides27330/Pastreoides12208/Pastreoides50116/Pastreoides23904/Pastreoides59433/Pastreoides59576/Pastreoides61165/Pastreoides30957/Pastreoides42225/Pastreoides34868,15
GO:0015074,DNA integration,28/1631,228/26731,0.12280701754385964,2.012724945410737,3.914722770751966,3.403710837521461e-4,0.2304523050770372,0.2270816152295171,Pastreoides59262/Pastreoides06873/Pastreoides43434/Pastreoides26152/Pastreoides22847/Pastreoides00812/Pastreoides61890/Pastreoides37478/Pastreoides26044/Pastreoides14629/Pastreoides39845/Pastreoides18414/Pastreoides46204/Pastreoides43025/Pastreoides07093/Pastreoides36668/Pastreoides33007/Pastreoides06018/Pastreoides37732/Pastreoides10874/Pastreoides02151/Pastreoides28399/Pastreoides02961/Pastreoides48860/Pastreoides46475/Pastreoides37480/Pastreoides11905/Pastreoides37146,28
GO:0035904,aorta development,8/1631,31/26731,0.25806451612903225,4.229504954411503,4.586176562243175,4.204489336732108e-4,0.2304523050770372,0.2270816152295171,Pastreoides06648/Pastreoides11694/Pastreoides32571/Pastreoides06589/Pastreoides07332/Pastreoides06646/Pastreoides46507/Pastreoides17230,8
GO:0031644,regulation of nervous system process,5/1631,12/26731,0.4166666666666667,6.8288882076435735,5.148205192071647,4.634283615562678e-4,0.2304523050770372,0.2270816152295171,Pastreoides55455/Pastreoides03282/Pastreoides19748/Pastreoides18441/Pastreoides15561,5
GO:0051965,positive regulation of synapse assembly,10/1631,48/26731,0.20833333333333334,3.4144441038217868,4.267858827323245,5.389308512702321e-4,0.2304523050770372,0.2270816152295171,Pastreoides33661/Pastreoides13953/Pastreoides26441/Pastreoides13867/Pastreoides47039/Pastreoides08357/Pastreoides33662/Pastreoides40233/Pastreoides21708/Pastreoides21827,10
GO:0048661,positive regulation of smooth muscle cell proliferation,14/1631,85/26731,0.16470588235294117,2.699419338550871,4.000217507270655,6.000853409179381e-4,0.2304523050770372,0.2270816152295171,Pastreoides63719/Pastreoides36228/Pastreoides08184/Pastreoides58159/Pastreoides13058/Pastreoides13747/Pastreoides08181/Pastreoides13740/Pastreoides32637/Pastreoides04378/Pastreoides03977/Pastreoides40233/Pastreoides54919/Pastreoides59560,14
GO:0098591,external side of apical plasma membrane,9/1631,41/26731,0.21951219512195122,3.5976581776853944,4.243158383590095,6.779794817707492e-4,0.2304523050770372,0.2270816152295171,Pastreoides16120/Pastreoides36228/Pastreoides08184/Pastreoides13747/Pastreoides08181/Pastreoides13740/Pastreoides03977/Pastreoides54919/Pastreoides59560,9
