ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006270,DNA replication initiation,8/756,33/26731,0.24242424242424243,8.571749238415904,7.424999472474265,2.926277865786022e-6,0.0070640347680074565,0.0070292274628670545,Pastreoides16165/Pastreoides42272/Pastreoides42729/Pastreoides16350/Pastreoides48373/Pastreoides12602/Pastreoides19404/Pastreoides50134,8
GO:0042555,MCM complex,5/756,11/26731,0.45454545454545453,16.072029822029823,8.529674520284596,7.160444169589672e-6,0.008642656112694734,0.008600070313159807,Pastreoides16165/Pastreoides42272/Pastreoides42729/Pastreoides16350/Pastreoides48373,5
GO:0071162,CMG complex,5/756,15/26731,0.3333333333333333,11.786155202821869,7.12868092209281,4.235436489556414e-5,0.03408114561929727,0.03391321427778154,Pastreoides16165/Pastreoides42272/Pastreoides42729/Pastreoides16350/Pastreoides48373,5
GO:0005665,"RNA polymerase II, core complex",5/756,16/26731,0.3125,11.049520502645503,6.859782432005861,6.01733791722441e-5,0.03631463433044931,0.0361356977029108,Pastreoides56373/Pastreoides64315/Pastreoides50762/Pastreoides10149/Pastreoides31064,5
GO:0008137,NADH dehydrogenase (ubiquinone) activity,5/756,17/26731,0.29411764705882354,10.399548708372238,6.6137016805934286,8.326417144523524e-5,0.040199941973759576,0.040001860892216176,Pastreoides64582/Pastreoides05350/Pastreoides12921/Pastreoides35363/Pastreoides00407,5
GO:0006749,glutathione metabolic process,9/756,69/26731,0.13043478260869565,4.611973775017253,5.125135722675184,1.3731094496739543e-4,0.0491999843522704,0.04895755648710638,Pastreoides10343/Pastreoides60996/Pastreoides60995/Pastreoides15696/Pastreoides36304/Pastreoides33124/Pastreoides34118/Pastreoides28956/Pastreoides15502,9
GO:0000786,nucleosome,10/756,85/26731,0.11764705882352941,4.159819483348896,4.977810078769632,1.4266772595935908e-4,0.0491999843522704,0.04895755648710638,Pastreoides01157/Pastreoides01161/Pastreoides39389/Pastreoides21715/Pastreoides25310/Pastreoides14179/Pastreoides05331/Pastreoides31739/Pastreoides14164/Pastreoides00788,10
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",5/756,20/26731,0.25,8.839616402116402,5.983390341398172,1.944254907598706e-4,0.05866789183679095,0.05837881183079272,Pastreoides64582/Pastreoides12921/Pastreoides27971/Pastreoides35363/Pastreoides00407,5
GO:0005759,mitochondrial matrix,18/756,246/26731,0.07317073170731707,2.5872048006194346,4.266611821236369,2.4313456313303553e-4,0.06521409282257197,0.06489275708416223,Pastreoides27215/Pastreoides19223/Pastreoides47547/Pastreoides15164/Pastreoides03597/Pastreoides08063/Pastreoides50320/Pastreoides36022/Pastreoides40473/Pastreoides00172/Pastreoides35363/Pastreoides24162/Pastreoides38436/Pastreoides17211/Pastreoides53575/Pastreoides15502/Pastreoides40292/Pastreoides49635,18
GO:0071345,cellular response to cytokine stimulus,8/756,61/26731,0.13114754098360656,4.637175817503687,4.8517711039518465,3.091832404086744e-4,0.074636834234654,0.07426906890658895,Pastreoides41242/Pastreoides40952/Pastreoides39079/Pastreoides58229/Pastreoides10811/Pastreoides43415/Pastreoides58139/Pastreoides13006,8
GO:0000727,double-strand break repair via break-induced replication,4/756,13/26731,0.3076923076923077,10.879527879527881,6.078389045653109,3.7010992248542326e-4,0.07504620525786006,0.07467642279616128,Pastreoides16165/Pastreoides42272/Pastreoides42729/Pastreoides16350,4
GO:0090733,tenascin complex,5/756,23/26731,0.21739130434782608,7.686622958362088,5.4730909904485205,3.933226374706966e-4,0.07504620525786006,0.07467642279616128,Pastreoides19571/Pastreoides42135/Pastreoides21670/Pastreoides48426/Pastreoides21671,5
GO:0008218,bioluminescence,6/756,35/26731,0.17142857142857143,6.061451247165532,5.111737955600116,4.0414277893628035e-4,0.07504620525786006,0.07467642279616128,Pastreoides04282/Pastreoides04293/Pastreoides04289/Pastreoides07031/Pastreoides53207/Pastreoides07032,6
GO:0005658,alpha DNA polymerase:primase complex,4/756,14/26731,0.2857142857142857,10.102418745275887,5.811785571450652,5.065902371981872e-4,0.07834691304566166,0.07796086668564946,Pastreoides48373/Pastreoides12602/Pastreoides19404/Pastreoides50134,4
GO:0030174,regulation of DNA-templated DNA replication initiation,4/756,14/26731,0.2857142857142857,10.102418745275887,5.811785571450652,5.065902371981872e-4,0.07834691304566166,0.07796086668564946,Pastreoides16165/Pastreoides42272/Pastreoides42729/Pastreoides16350,4
GO:0030261,chromosome condensation,6/756,37/26731,0.16216216216216217,5.733805233805234,4.915718653210295,5.51738824265223e-4,0.07834691304566166,0.07796086668564946,Pastreoides42272/Pastreoides42729/Pastreoides07342/Pastreoides00197/Pastreoides05331/Pastreoides00788,6
GO:0032981,mitochondrial respiratory chain complex I assembly,6/756,37/26731,0.16216216216216217,5.733805233805234,4.915718653210295,5.51738824265223e-4,0.07834691304566166,0.07796086668564946,Pastreoides64582/Pastreoides05350/Pastreoides12921/Pastreoides27971/Pastreoides33922/Pastreoides35363,6
GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",4/756,15/26731,0.26666666666666666,9.428924162257495,5.570762680434282,6.754032816718682e-4,0.090579084553105,0.09013276542545047,Pastreoides00320/Pastreoides29706/Pastreoides14222/Pastreoides21654,4
GO:0005743,mitochondrial inner membrane,17/756,255/26731,0.06666666666666667,2.3572310405643737,3.7151836487316134,0.0010208069502718067,0.1296962093661127,0.1290571446271614,Pastreoides25328/Pastreoides46422/Pastreoides00320/Pastreoides05086/Pastreoides31176/Pastreoides15164/Pastreoides02610/Pastreoides14222/Pastreoides21654/Pastreoides00172/Pastreoides03293/Pastreoides62406/Pastreoides34115/Pastreoides13559/Pastreoides43678/Pastreoides44502/Pastreoides48636,17
GO:0032259,methylation,9/756,98/26731,0.09183673469387756,3.24720602526725,3.802143316419793,0.0018484916349344386,0.22311294033658674,0.22201357425896784,Pastreoides00642/Pastreoides12642/Pastreoides15164/Pastreoides19613/Pastreoides00172/Pastreoides57698/Pastreoides10784/Pastreoides34490/Pastreoides06180,9
GO:0071353,cellular response to interleukin-4,4/756,20/26731,0.2,7.071693121693123,4.634067295749928,0.002142450461391231,0.2462797816094491,0.24506626330299694,Pastreoides42272/Pastreoides11435/Pastreoides42729/Pastreoides00666,4
GO:0051971,positive regulation of transmission of nerve impulse,4/756,22/26731,0.18181818181818182,6.428811928811928,4.345801864997095,0.003092970311014568,0.33938319685405305,0.33771092103996386,Pastreoides19571/Pastreoides42135/Pastreoides21670/Pastreoides21671,4
GO:0048692,negative regulation of axon extension involved in regeneration,4/756,23/26731,0.17391304347826086,6.149298366689671,4.214770097454985,0.0036613171896553863,0.36991343452742037,0.3680907241056876,Pastreoides19571/Pastreoides42135/Pastreoides21670/Pastreoides21671,4
GO:0040014,regulation of multicellular organism growth,5/756,37/26731,0.13513513513513514,4.778171028171029,3.9233607807877084,0.003677681204912216,0.36991343452742037,0.3680907241056876,Pastreoides15696/Pastreoides11435/Pastreoides12642/Pastreoides14336/Pastreoides57698,5
GO:0016651,"oxidoreductase activity, acting on NAD(P)H",3/756,12/26731,0.25,8.839616402116402,4.6340203318117625,0.004095190164078647,0.3713377031172231,0.3695079747584281,Pastreoides39540/Pastreoides12921/Pastreoides35363,3
GO:0035641,locomotory exploration behavior,5/756,38/26731,0.13157894736842105,4.652429685324422,3.843771549837966,0.004137983958119298,0.3713377031172231,0.3695079747584281,Pastreoides19571/Pastreoides42135/Pastreoides21670/Pastreoides21671/Pastreoides15279,5
GO:0006260,DNA replication,14/756,220/26731,0.06363636363636363,2.250084175084175,3.1762899613441986,0.004153321451601087,0.3713377031172231,0.3695079747584281,Pastreoides47835/Pastreoides16165/Pastreoides42272/Pastreoides42729/Pastreoides54208/Pastreoides21745/Pastreoides08271/Pastreoides05353/Pastreoides12602/Pastreoides13494/Pastreoides50134/Pastreoides06541/Pastreoides28411/Pastreoides33447,14
GO:0045177,apical part of cell,12/756,181/26731,0.06629834254143646,2.3442076646496535,3.095679499463448,0.005565781351646912,0.47981119486934276,0.47744697453095547,Pastreoides47384/Pastreoides61488/Pastreoides30285/Pastreoides51044/Pastreoides33124/Pastreoides03248/Pastreoides09751/Pastreoides48032/Pastreoides64364/Pastreoides17179/Pastreoides33575/Pastreoides28956,12
GO:0003899,DNA-directed RNA polymerase activity,5/756,41/26731,0.12195121951219512,4.312008001032392,3.6206922944573563,0.005764094718811491,0.47981119486934276,0.47744697453095547,Pastreoides64315/Pastreoides50762/Pastreoides02461/Pastreoides10149/Pastreoides31064,5
GO:0042744,hydrogen peroxide catabolic process,3/756,14/26731,0.21428571428571427,7.5768140589569155,4.199217166733532,0.006496202600018034,0.4855131142563371,0.4831207982963246,Pastreoides61803/Pastreoides53575/Pastreoides15502,3
GO:1905820,positive regulation of chromosome separation,3/756,14/26731,0.21428571428571427,7.5768140589569155,4.199217166733532,0.006496202600018034,0.4855131142563371,0.4831207982963246,Pastreoides00197/Pastreoides18455/Pastreoides13006,3
GO:0017116,single-stranded DNA helicase activity,4/756,27/26731,0.14814814814814814,5.238291201254164,3.7589548906910375,0.006637088968707176,0.4855131142563371,0.4831207982963246,Pastreoides42272/Pastreoides42729/Pastreoides16350/Pastreoides33447,4
GO:0022029,telencephalon cell migration,4/756,27/26731,0.14814814814814814,5.238291201254164,3.7589548906910375,0.006637088968707176,0.4855131142563371,0.4831207982963246,Pastreoides19571/Pastreoides42135/Pastreoides21670/Pastreoides21671,4
GO:0050805,negative regulation of synaptic transmission,5/756,44/26731,0.11363636363636363,4.018007455507456,3.4180575268313054,0.007794852875778102,0.5331857073629283,0.5305584896010999,Pastreoides19571/Pastreoides42135/Pastreoides21670/Pastreoides21671/Pastreoides18884,5
GO:0000012,single strand break repair,3/756,15/26731,0.2,7.071693121693123,4.012844438775754,0.007951402429604564,0.5331857073629283,0.5305584896010999,Pastreoides61792/Pastreoides18455/Pastreoides26866,3
GO:0015986,proton motive force-driven ATP synthesis,3/756,15/26731,0.2,7.071693121693123,4.012844438775754,0.007951402429604564,0.5331857073629283,0.5305584896010999,Pastreoides19223/Pastreoides21200/Pastreoides38436,3
GO:0001889,liver development,12/756,194/26731,0.061855670103092786,2.1871215840288007,2.831083985265496,0.009458148178959881,0.5980133342450022,0.5950666850159574,Pastreoides62726/Pastreoides29130/Pastreoides55582/Pastreoides08271/Pastreoides55581/Pastreoides40473/Pastreoides05324/Pastreoides07002/Pastreoides43678/Pastreoides04493/Pastreoides14945/Pastreoides55833,12
GO:0006783,heme biosynthetic process,3/756,16/26731,0.1875,6.629712301587301,3.842830265733538,0.00958315377893522,0.5980133342450022,0.5950666850159574,Pastreoides03293/Pastreoides00666/Pastreoides25467,3
GO:0008610,lipid biosynthetic process,5/756,47/26731,0.10638297872340426,3.761538894517618,3.2326391355183417,0.010275746683598782,0.5980133342450022,0.5950666850159574,Pastreoides00642/Pastreoides43368/Pastreoides00641/Pastreoides44643/Pastreoides57649,5
GO:0005164,tumor necrosis factor receptor binding,7/756,85/26731,0.08235294117647059,2.9118736383442267,3.011863151181486,0.010343289361154352,0.5980133342450022,0.5950666850159574,Pastreoides61698/Pastreoides25125/Pastreoides17130/Pastreoides61702/Pastreoides17455/Pastreoides25129/Pastreoides16371,7
GO:0046540,U4/U6 x U5 tri-snRNP complex,4/756,31/26731,0.12903225806451613,4.562382659156852,3.38569929687525,0.01088794792875127,0.5980133342450022,0.5950666850159574,Pastreoides17803/Pastreoides10325/Pastreoides22730/Pastreoides21602,4
GO:0072534,perineuronal net,4/756,31/26731,0.12903225806451613,4.562382659156852,3.38569929687525,0.01088794792875127,0.5980133342450022,0.5950666850159574,Pastreoides19571/Pastreoides42135/Pastreoides21670/Pastreoides21671,4
GO:0006641,triglyceride metabolic process,3/756,17/26731,0.17647058823529413,6.239729225023344,3.6867733820587407,0.011395448788430034,0.5980133342450022,0.5950666850159574,Pastreoides61803/Pastreoides15502/Pastreoides31195,3
GO:0033189,response to vitamin A,3/756,17/26731,0.17647058823529413,6.239729225023344,3.6867733820587407,0.011395448788430034,0.5980133342450022,0.5950666850159574,Pastreoides61803/Pastreoides16436/Pastreoides00172,3
GO:0040029,epigenetic regulation of gene expression,3/756,17/26731,0.17647058823529413,6.239729225023344,3.6867733820587407,0.011395448788430034,0.5980133342450022,0.5950666850159574,Pastreoides52209/Pastreoides20264/Pastreoides15502,3
GO:0070848,response to growth factor,3/756,17/26731,0.17647058823529413,6.239729225023344,3.6867733820587407,0.011395448788430034,0.5980133342450022,0.5950666850159574,Pastreoides60054/Pastreoides52209/Pastreoides20264,3
GO:0043130,ubiquitin binding,7/756,87/26731,0.08045977011494253,2.8449340144742443,2.940514672119303,0.011672198028302985,0.5995039583047533,0.5965499641788894,Pastreoides06427/Pastreoides52209/Pastreoides08764/Pastreoides47234/Pastreoides20264/Pastreoides25232/Pastreoides51281,7
GO:0006091,generation of precursor metabolites and energy,4/756,32/26731,0.125,4.419808201058201,3.3022643794768363,0.012170789639002321,0.6120892955948251,0.6090732885132302,Pastreoides04282/Pastreoides43691/Pastreoides04289/Pastreoides07032,4
