ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0034392,negative regulation of smooth muscle cell apoptotic process,7/499,22/26731,0.3181818181818182,17.044725815266897,10.383622161233005,1.0134307287392413e-7,1.9295721075195154e-4,1.7100310085989515e-4,Pastreoides04408/Pastreoides06648/Pastreoides27232/Pastreoides14959/Pastreoides04426/Pastreoides04632/Pastreoides11191,7
GO:0015074,DNA integration,18/499,228/26731,0.07894736842105263,4.22914249551735,6.753690672945166,3.3002760739945476e-7,3.1418628224428094e-4,2.784390814006979e-4,Pastreoides37480/Pastreoides37509/Pastreoides26152/Pastreoides11905/Pastreoides43025/Pastreoides22847/Pastreoides20163/Pastreoides21359/Pastreoides36245/Pastreoides23491/Pastreoides03398/Pastreoides43434/Pastreoides57596/Pastreoides09037/Pastreoides14136/Pastreoides26044/Pastreoides36668/Pastreoides38149,18
GO:0031012,extracellular matrix,24/499,476/26731,0.05042016806722689,2.700964955120325,5.164483346996885,1.2556824741245133e-5,0.007969398102443577,0.0070626631790231395,Pastreoides42952/Pastreoides63277/Pastreoides24454/Pastreoides60062/Pastreoides25620/Pastreoides10089/Pastreoides34206/Pastreoides50720/Pastreoides23052/Pastreoides25608/Pastreoides30589/Pastreoides19205/Pastreoides47033/Pastreoides22246/Pastreoides27501/Pastreoides54518/Pastreoides55382/Pastreoides60111/Pastreoides10090/Pastreoides41046/Pastreoides59167/Pastreoides07751/Pastreoides46917/Pastreoides38843,24
GO:0006310,DNA recombination,14/499,212/26731,0.0660377358490566,3.5375846031686016,5.116157900934524,4.9311492382289065e-5,0.019765249704640303,0.017516417114406463,Pastreoides26152/Pastreoides11905/Pastreoides43025/Pastreoides22847/Pastreoides20163/Pastreoides21359/Pastreoides36245/Pastreoides03398/Pastreoides43434/Pastreoides57596/Pastreoides09037/Pastreoides36668/Pastreoides38149/Pastreoides42017,14
GO:0005041,low-density lipoprotein particle receptor activity,5/499,23/26731,0.21739130434782608,11.645464842728936,7.044366037724869,5.661385114986251e-5,0.019765249704640303,0.017516417114406463,Pastreoides06648/Pastreoides27232/Pastreoides06644/Pastreoides04632/Pastreoides11191,5
GO:0004888,transmembrane signaling receptor activity,18/499,336/26731,0.05357142857142857,2.869775264815345,4.756990302788603,7.020649533057037e-5,0.019765249704640303,0.017516417114406463,Pastreoides28817/Pastreoides25178/Pastreoides44421/Pastreoides05172/Pastreoides26983/Pastreoides06149/Pastreoides17494/Pastreoides32637/Pastreoides61763/Pastreoides13939/Pastreoides22587/Pastreoides02174/Pastreoides29117/Pastreoides28810/Pastreoides59721/Pastreoides46917/Pastreoides45126/Pastreoides33347,18
GO:0038023,signaling receptor activity,12/499,167/26731,0.0718562874251497,3.8492793971175883,5.094253915202012,7.545171096288258e-5,0.019765249704640303,0.017516417114406463,Pastreoides04408/Pastreoides06646/Pastreoides11274/Pastreoides07547/Pastreoides29150/Pastreoides38087/Pastreoides32661/Pastreoides04432/Pastreoides13939/Pastreoides04426/Pastreoides60111/Pastreoides63297,12
GO:0004970,glutamate-gated receptor activity,5/499,26/26731,0.19230769230769232,10.301757360875598,6.544695417741369,1.0567823158651837e-4,0.019765249704640303,0.017516417114406463,Pastreoides04408/Pastreoides04432/Pastreoides04427/Pastreoides14959/Pastreoides04426,5
GO:0043235,receptor complex,14/499,228/26731,0.06140350877192982,3.2893330520690505,4.7880969336247,1.0758344654167713e-4,0.019765249704640303,0.017516417114406463,Pastreoides06648/Pastreoides32664/Pastreoides32661/Pastreoides26978/Pastreoides27232/Pastreoides15086/Pastreoides32637/Pastreoides34943/Pastreoides13939/Pastreoides01308/Pastreoides06644/Pastreoides56566/Pastreoides04632/Pastreoides11191,14
GO:1904315,transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential,6/499,42/26731,0.14285714285714285,7.652734039507586,5.951037767276714,1.2180280118097986e-4,0.019765249704640303,0.017516417114406463,Pastreoides04408/Pastreoides05172/Pastreoides04432/Pastreoides14959/Pastreoides04426/Pastreoides29117,6
GO:0046718,symbiont entry into host cell,7/499,60/26731,0.11666666666666667,6.249732798931196,5.614708645625735,1.244355250871883e-4,0.019765249704640303,0.017516417114406463,Pastreoides58408/Pastreoides03533/Pastreoides20163/Pastreoides21359/Pastreoides43434/Pastreoides60039/Pastreoides38149,7
GO:0009950,dorsal/ventral axis specification,8/499,80/26731,0.1,5.356913827655311,5.382713437157125,1.2457090149983386e-4,0.019765249704640303,0.017516417114406463,Pastreoides06648/Pastreoides27232/Pastreoides32637/Pastreoides61763/Pastreoides13939/Pastreoides04632/Pastreoides46917/Pastreoides11191,8
GO:0005796,Golgi lumen,7/499,62/26731,0.11290322580645161,6.048128515094706,5.488541243534207,1.5345889385918318e-4,0.022475825685221905,0.019918591648281022,Pastreoides32637/Pastreoides61763/Pastreoides13939/Pastreoides30589/Pastreoides06644/Pastreoides30391/Pastreoides26905,7
GO:0021874,Wnt signaling pathway involved in forebrain neuroblast division,4/499,16/26731,0.25,13.392284569138276,6.838609892534043,1.8270122039952197e-4,0.023190874909379322,0.020552284652662015,Pastreoides06648/Pastreoides27232/Pastreoides04632/Pastreoides11191,4
GO:0060596,mammary placode formation,4/499,16/26731,0.25,13.392284569138276,6.838609892534043,1.8270122039952197e-4,0.023190874909379322,0.020552284652662015,Pastreoides06648/Pastreoides27232/Pastreoides04632/Pastreoides11191,4
GO:0090118,receptor-mediated endocytosis involved in cholesterol transport,4/499,17/26731,0.23529411764705882,12.60450312389485,6.601089179127362,2.3540286744463726e-4,0.028012941225911834,0.02482571029695747,Pastreoides06648/Pastreoides27232/Pastreoides04632/Pastreoides11191,4
GO:0021943,formation of radial glial scaffolds,4/499,18/26731,0.2222222222222222,11.904252950345134,6.382706703289839,2.982119248299834e-4,0.028389775243814423,0.025159669236971764,Pastreoides06648/Pastreoides27232/Pastreoides04632/Pastreoides11191,4
GO:0035261,external genitalia morphogenesis,4/499,18/26731,0.2222222222222222,11.904252950345134,6.382706703289839,2.982119248299834e-4,0.028389775243814423,0.025159669236971764,Pastreoides06648/Pastreoides27232/Pastreoides04632/Pastreoides11191,4
GO:0090244,Wnt signaling pathway involved in somitogenesis,4/499,18/26731,0.2222222222222222,11.904252950345134,6.382706703289839,2.982119248299834e-4,0.028389775243814423,0.025159669236971764,Pastreoides06648/Pastreoides27232/Pastreoides04632/Pastreoides11191,4
GO:0090245,axis elongation involved in somitogenesis,4/499,18/26731,0.2222222222222222,11.904252950345134,6.382706703289839,2.982119248299834e-4,0.028389775243814423,0.025159669236971764,Pastreoides06648/Pastreoides27232/Pastreoides04632/Pastreoides11191,4
GO:0004222,metalloendopeptidase activity,14/499,256/26731,0.0546875,2.929562249498998,4.27853257135437,3.556010018645264e-4,0.03081054030232099,0.027305006692072392,Pastreoides58408/Pastreoides60499/Pastreoides35025/Pastreoides24454/Pastreoides31173/Pastreoides19339/Pastreoides59890/Pastreoides47729/Pastreoides09462/Pastreoides44408/Pastreoides18551/Pastreoides19205/Pastreoides13940/Pastreoides49623,14
GO:0060535,trachea cartilage morphogenesis,4/499,19/26731,0.21052631578947367,11.2777133213796,6.180934586844748,3.721861486099699e-4,0.03081054030232099,0.027305006692072392,Pastreoides06648/Pastreoides27232/Pastreoides04632/Pastreoides11191,4
GO:0110135,Norrin signaling pathway,4/499,19/26731,0.21052631578947367,11.2777133213796,6.180934586844748,3.721861486099699e-4,0.03081054030232099,0.027305006692072392,Pastreoides06648/Pastreoides27232/Pastreoides04632/Pastreoides11191,4
GO:1990851,Wnt-Frizzled-LRP5/6 complex,4/499,20/26731,0.2,10.713827655310622,5.993691260964665,4.584026951807026e-4,0.03636661381766907,0.032228926332222206,Pastreoides06648/Pastreoides27232/Pastreoides04632/Pastreoides11191,4
GO:0019210,kinase inhibitor activity,4/499,21/26731,0.19047619047619047,10.203645386010116,5.819244848296345,5.57954234198482e-4,0.04085941776591961,0.036210552122273955,Pastreoides06648/Pastreoides27232/Pastreoides04632/Pastreoides11191,4
GO:0090009,primitive streak formation,4/499,21/26731,0.19047619047619047,10.203645386010116,5.819244848296345,5.57954234198482e-4,0.04085941776591961,0.036210552122273955,Pastreoides06648/Pastreoides27232/Pastreoides04632/Pastreoides11191,4
GO:0021587,cerebellum morphogenesis,4/499,22/26731,0.18181818181818182,9.739843323009655,5.656140956186091,6.719452810439683e-4,0.04186940732638621,0.03710562800983917,Pastreoides06648/Pastreoides27232/Pastreoides04632/Pastreoides11191,4
GO:0021795,cerebral cortex cell migration,4/499,22/26731,0.18181818181818182,9.739843323009655,5.656140956186091,6.719452810439683e-4,0.04186940732638621,0.03710562800983917,Pastreoides06648/Pastreoides27232/Pastreoides04632/Pastreoides11191,4
GO:0060059,embryonic retina morphogenesis in camera-type eye,4/499,22/26731,0.18181818181818182,9.739843323009655,5.656140956186091,6.719452810439683e-4,0.04186940732638621,0.03710562800983917,Pastreoides06648/Pastreoides27232/Pastreoides04632/Pastreoides11191,4
GO:0071901,negative regulation of protein serine/threonine kinase activity,4/499,22/26731,0.18181818181818182,9.739843323009655,5.656140956186091,6.719452810439683e-4,0.04186940732638621,0.03710562800983917,Pastreoides06648/Pastreoides27232/Pastreoides04632/Pastreoides11191,4
GO:0015349,thyroid hormone transmembrane transporter activity,3/499,10/26731,0.3,16.070741482965932,6.574190993243211,7.036875180905245e-4,0.04186940732638621,0.03710562800983917,Pastreoides16120/Pastreoides09453/Pastreoides18728,3
GO:0032281,AMPA glutamate receptor complex,3/499,10/26731,0.3,16.070741482965932,6.574190993243211,7.036875180905245e-4,0.04186940732638621,0.03710562800983917,Pastreoides04408/Pastreoides14959/Pastreoides04426,3
