ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0070840,dynein complex binding,11/640,61/26731,0.18032786885245902,7.5317879098360665,7.998887490223375,1.9197454064781116e-7,4.019946881165166e-4,3.776846489165885e-4,Pastreoides58630/Pastreoides45639/Pastreoides32382/Pastreoides64548/Pastreoides59399/Pastreoides17292/Pastreoides36885/Pastreoides46314/Pastreoides24622/Pastreoides09527/Pastreoides19196,11
GO:0097431,mitotic spindle pole,12/640,80/26731,0.15,6.265078125,7.386473815148346,4.369974898636271e-7,4.575363718872176e-4,4.298675308184838e-4,Pastreoides58630/Pastreoides45639/Pastreoides32382/Pastreoides32571/Pastreoides64548/Pastreoides59399/Pastreoides36885/Pastreoides46314/Pastreoides24622/Pastreoides50725/Pastreoides20655/Pastreoides19196,12
GO:1904778,positive regulation of protein localization to cell cortex,9/640,44/26731,0.20454545454545456,8.543288352272729,7.842983004744012,8.197845862925094e-7,5.722096412321716e-4,5.376061023791931e-4,Pastreoides58630/Pastreoides32382/Pastreoides64548/Pastreoides59399/Pastreoides05953/Pastreoides36885/Pastreoides46314/Pastreoides24622/Pastreoides19196,9
GO:0061014,positive regulation of mRNA catabolic process,5/640,10/26731,0.5,20.88359375,9.849464784269744,1.7668807996432026e-6,9.249620986132165e-4,8.690263722455647e-4,Pastreoides42308/Pastreoides42639/Pastreoides35223/Pastreoides21281/Pastreoides24409,5
GO:0032481,positive regulation of type I interferon production,6/640,18/26731,0.3333333333333333,13.922395833333331,8.58938490162129,2.6722253424459495e-6,0.0011191279734163637,0.0010514503505329432,Pastreoides01198/Pastreoides42308/Pastreoides22398/Pastreoides45123/Pastreoides53977/Pastreoides47057,6
GO:0060236,regulation of mitotic spindle organization,9/640,53/26731,0.16981132075471697,7.092541273584905,6.95350681504852,4.230173509042991e-6,0.001476330554656004,0.0013870516295440968,Pastreoides58630/Pastreoides32382/Pastreoides64548/Pastreoides59399/Pastreoides05953/Pastreoides36885/Pastreoides46314/Pastreoides24622/Pastreoides19196,9
GO:0031291,Ran protein signal transduction,8/640,42/26731,0.19047619047619047,7.955654761904762,7.06546283582891,5.946354872445807e-6,0.00155645838786269,0.0014623338495527913,Pastreoides58630/Pastreoides32382/Pastreoides64548/Pastreoides59399/Pastreoides36885/Pastreoides46314/Pastreoides24622/Pastreoides19196,8
GO:0097575,lateral cell cortex,8/640,42/26731,0.19047619047619047,7.955654761904762,7.06546283582891,5.946354872445807e-6,0.00155645838786269,0.0014623338495527913,Pastreoides58630/Pastreoides32382/Pastreoides64548/Pastreoides59399/Pastreoides36885/Pastreoides46314/Pastreoides24622/Pastreoides19196,8
GO:1905832,positive regulation of spindle assembly,8/640,45/26731,0.17777777777777778,7.425277777777778,6.756169362509916,1.0194767224576175e-5,0.0023719825075847233,0.002228540344179284,Pastreoides58630/Pastreoides32382/Pastreoides64548/Pastreoides59399/Pastreoides36885/Pastreoides46314/Pastreoides24622/Pastreoides19196,8
GO:0051661,maintenance of centrosome location,8/640,47/26731,0.1702127659574468,7.109308510638297,6.565376311314862,1.4259606330267104e-5,0.0029859615655579317,0.0028053899190809708,Pastreoides58630/Pastreoides32382/Pastreoides64548/Pastreoides59399/Pastreoides36885/Pastreoides46314/Pastreoides24622/Pastreoides19196,8
