ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0034392,negative regulation of smooth muscle cell apoptotic process,7/1139,22/26731,0.3181818181818182,7.467355734695507,6.402041780369742,2.4306469801902575e-5,0.04343447198253124,0.04192331849197017,Pastreoides04408/Pastreoides06648/Pastreoides27232/Pastreoides14959/Pastreoides04426/Pastreoides04632/Pastreoides11191,7
GO:0061014,positive regulation of mRNA catabolic process,5/1139,10/26731,0.5,11.73441615452151,7.16244503974846,2.932780012324864e-5,0.04343447198253124,0.04192331849197017,Pastreoides42308/Pastreoides42639/Pastreoides35223/Pastreoides21281/Pastreoides24409,5
GO:0070840,dynein complex binding,11/1139,61/26731,0.18032786885245902,4.232084514745463,5.331450066360235,4.726938228171201e-5,0.046670636772810324,0.0450468920270631,Pastreoides58630/Pastreoides45639/Pastreoides32382/Pastreoides64548/Pastreoides59399/Pastreoides17292/Pastreoides36885/Pastreoides46314/Pastreoides24622/Pastreoides09527/Pastreoides19196,11
GO:0032481,positive regulation of type I interferon production,6/1139,18/26731,0.3333333333333333,7.822944103014339,6.108800773363097,7.049638129796412e-5,0.048960598523794155,0.047257182412532406,Pastreoides01198/Pastreoides42308/Pastreoides22398/Pastreoides45123/Pastreoides53977/Pastreoides47057,6
GO:1904778,positive regulation of protein localization to cell cortex,9/1139,44/26731,0.20454545454545456,4.800442972304254,5.32255194269169,8.264787056683686e-5,0.048960598523794155,0.047257182412532406,Pastreoides58630/Pastreoides32382/Pastreoides64548/Pastreoides59399/Pastreoides05953/Pastreoides36885/Pastreoides46314/Pastreoides24622/Pastreoides19196,9
GO:0097431,mitotic spindle pole,12/1139,80/26731,0.15,3.520324846356453,4.76270834816001,1.4012826594952718e-4,0.06917665395708325,0.06676988952963436,Pastreoides58630/Pastreoides45639/Pastreoides32382/Pastreoides32571/Pastreoides64548/Pastreoides59399/Pastreoides36885/Pastreoides46314/Pastreoides24622/Pastreoides50725/Pastreoides20655/Pastreoides19196,12
GO:0007346,regulation of mitotic cell cycle,13/1139,97/26731,0.13402061855670103,3.1453074228614355,4.465462357539227,2.3981482276871056e-4,0.1014759292915601,0.09794542235185233,Pastreoides43807/Pastreoides59399/Pastreoides25831/Pastreoides12146/Pastreoides06268/Pastreoides36885/Pastreoides03163/Pastreoides46314/Pastreoides08704/Pastreoides13939/Pastreoides24622/Pastreoides60898/Pastreoides61484,13
GO:0031291,Ran protein signal transduction,8/1139,42/26731,0.19047619047619047,4.470253773151051,4.7481994932483165,3.4376342867264943e-4,0.10854747373183378,0.10477093665576621,Pastreoides58630/Pastreoides32382/Pastreoides64548/Pastreoides59399/Pastreoides36885/Pastreoides46314/Pastreoides24622/Pastreoides19196,8
GO:0097575,lateral cell cortex,8/1139,42/26731,0.19047619047619047,4.470253773151051,4.7481994932483165,3.4376342867264943e-4,0.10854747373183378,0.10477093665576621,Pastreoides58630/Pastreoides32382/Pastreoides64548/Pastreoides59399/Pastreoides36885/Pastreoides46314/Pastreoides24622/Pastreoides19196,8
GO:0060236,regulation of mitotic spindle organization,9/1139,53/26731,0.16981132075471697,3.9852734109695693,4.589386580347408,3.664668255632471e-4,0.10854747373183378,0.10477093665576621,Pastreoides58630/Pastreoides32382/Pastreoides64548/Pastreoides59399/Pastreoides05953/Pastreoides36885/Pastreoides46314/Pastreoides24622/Pastreoides19196,9
GO:0033391,chromatoid body,5/1139,16/26731,0.3125,7.334010096575944,5.346509972987398,4.103014794699174e-4,0.11048299838089956,0.10663912136270773,Pastreoides24502/Pastreoides24501/Pastreoides49498/Pastreoides43644/Pastreoides15850,5
GO:0004000,adenosine deaminase activity,4/1139,10/26731,0.4,9.38753292361721,5.596507785771311,5.601804723534467e-4,0.1277658144361143,0.12332064110611124,Pastreoides42633/Pastreoides43527/Pastreoides42635/Pastreoides43526,4
GO:1905832,positive regulation of spindle assembly,8/1139,45/26731,0.17777777777777778,4.172236854940982,4.493030330739106,5.607547561341951e-4,0.1277658144361143,0.12332064110611124,Pastreoides58630/Pastreoides32382/Pastreoides64548/Pastreoides59399/Pastreoides36885/Pastreoides46314/Pastreoides24622/Pastreoides19196,8
