sample;site;depth;group
23-MF10-1a;MF;S;S
28-CC10-9b;CC;S;S
32-CC10-1b;CC;S;S
4-MF10-4a;MF;S;S
42-MF10-10b;MF;S;S
48-CC10-6b;CC;S;S
63-MF-SS-60;MF;SS;SS
73-CC-SS-38;CC;SS;SS
94-CC-SS-37;CC;SS;SS
97-MF-SS-64;MF;SS;SS
98-MF-SS-69;MF;SS;SS
100-CC-SD-73;CC;SD;SD
114-MF-SD-45;MF;SD;SD
117-MF-SD-44;MF;SD;SD
99-MF-SD-43;MF;SD;SD
27-MF40-2b;MF;D;D
31-MF40-5b;MF;D;D
35-MF40-1b;MF;D;D
37-CC40-8b;CC;D;D
49-CC40-1b;CC;D;D
25-CC40-2b;CC;D;D
102-CC-DD-82;CC;DD;DD
108-CC-DD-94;CC;DD;DD
123-CC-DD-81;CC;DD;DD
75-CC-DD-84;CC;DD;DD
84-CC-DD-80;CC;DD;DD
66-MF-DS-52;MF;DS;DS
78-MF-DS-54;CC;DS;DS
80-1-CC-DS-86;CC;DS;DS
81-CC-DS-87;CC;DS;DS
91-CC-DS-89;CC;DS;DS
