"species","100-CC-SD-73","102-CC-DD-82","108-CC-DD-94","114-MF-SD-45","117-MF-SD-44","123-CC-DD-81","23-MF10-1a","25-CC40-2b","27-MF40-2b","28-CC10-9b","31-MF40-5b","32-CC10-1b","35-MF40-1b","37-CC40-8b","4-MF10-4a","42-MF10-10b","48-CC10-6b","49-CC40-1b","63-MF-SS-60","66-MF-DS-52","73-CC-SS-38","75-CC-DD-84","78-MF-DS-54","80-1-CC-DS-86","81-CC-DS-87","84-CC-DD-80","91-CC-DS-89","94-CC-SS-37","97-MF-SS-64","98-MF-SS-69","99-MF-SD-43"
"Slin",309330,235143,78956,1103171,62499,146747,992730,226918,52701,657789,276248,14366,155758,185232,247709,417297,164104,104325,246652,74107,129570,155643,37447,232361,51590,238431,103604,17260,119878,136713,134382
"SMicReefgen",206151,158822,57755,600152,43376,86133,547446,127132,62961,378439,161132,18821,90172,109334,148432,238280,97166,65638,150193,45212,76706,99249,22985,124345,30582,134456,63792,19895,119840,81670,93761
"Cinf",237403,161046,503982,164602,62671,55072,73210,22222,263818,74426,27026,147285,201229,20878,42013,45670,15325,59030,24992,28265,29098,98619,14123,19583,20269,17281,24955,127154,706161,29414,116476
"SMicUQCass",304225,350489,65480,162218,116860,69342,59189,29806,176638,41816,20907,7922,20037,18343,42050,48374,12062,85007,35566,38396,41860,190880,27125,30303,40567,24056,45961,21351,292466,44527,261600
"SGoreauC",121257,96983,660432,68377,55236,19492,21344,11726,148674,19866,8793,84618,257503,8030,17445,22853,4122,22676,18438,23184,21566,60612,44139,9439,47337,30985,50121,86401,463470,22370,89015
"syma",170119,118579,58203,303795,53628,44602,252983,65346,39030,175847,87482,24357,55052,63421,83236,124260,65748,40752,100587,35934,54294,67937,30658,57718,26049,90452,57694,24123,103364,54345,68647
"symb",91297,69620,455217,33395,23661,9904,16057,5978,163536,11182,4911,122686,153899,3682,7345,10472,3092,11001,8265,7323,8226,38842,5378,5566,7663,4971,8292,125312,559047,13399,44520
"SMicUQSCI",198099,179134,47249,163435,85837,47918,88092,32140,103056,59057,27852,6411,21434,20821,36889,50240,17202,52887,49822,30465,32979,97722,28701,28657,41060,34375,42405,14624,183236,36082,159664
"SPilosum",145678,135512,53411,169646,48410,35268,118299,30105,84569,95669,35535,20901,32274,26357,42772,60447,21520,33201,36044,22020,26201,78865,17262,27840,24737,31201,29765,25002,189060,30377,84169
"Stri",73508,61488,23882,185424,16862,29265,164351,40836,30950,119321,54678,9710,30925,38790,52850,77108,37170,26105,56342,17343,26160,40729,7459,37449,11711,42138,25778,9599,51668,29212,40146
"symbd",98948,82354,71442,51589,36009,19259,13620,8517,87750,10419,5672,38853,19568,4909,12438,13816,3260,22145,13710,19135,17188,54048,36154,9264,37035,24724,40254,47268,250319,17740,60357
"SKawaF",73307,45701,70412,25565,16761,13925,7857,4609,112758,7712,2768,74076,24154,2390,6092,6974,1706,10365,4911,6766,6436,27091,7740,5061,10083,5514,10394,61666,331145,7566,30090
"Snat",71196,88404,30413,64930,26246,23957,37754,13575,70045,27042,12055,20078,13665,10163,15438,24564,7110,25433,16896,11463,13152,53540,6219,13684,12024,10625,13443,20397,108186,15502,60074
"Snec",28871,26254,10362,92147,12936,13434,81521,18870,11276,57113,23932,1809,13779,16238,23012,38740,13926,11738,27099,7921,12261,16855,8116,17125,9214,20234,14878,2665,16055,13086,16645
"CladocPluteaC",37232,21456,127833,10814,7477,3783,3328,1944,71694,3804,1166,48468,49746,868,2465,3037,661,4309,2778,2647,2327,11417,1880,2234,2361,1305,2641,39810,176705,2796,13221
