"species","100-CC-SD-73","102-CC-DD-82","108-CC-DD-94","114-MF-SD-45","117-MF-SD-44","123-CC-DD-81","23-MF10-1a","25-CC40-2b","27-MF40-2b","28-CC10-9b","31-MF40-5b","32-CC10-1b","35-MF40-1b","37-CC40-8b","4-MF10-4a","42-MF10-10b","48-CC10-6b","49-CC40-1b","63-MF-SS-60","66-MF-DS-52","73-CC-SS-38","75-CC-DD-84","78-MF-DS-54","80-1-CC-DS-86","81-CC-DS-87","84-CC-DD-80","91-CC-DS-89","94-CC-SS-37","97-MF-SS-64","98-MF-SS-69","99-MF-SD-43"
"Slin",0.169963866726701,0.156826867548421,0.0377390177356941,0.356969735071698,0.118051812131522,0.258904040520573,0.405068090189091,0.367218029699291,0.0451717571432526,0.385638731399015,0.374174563557514,0.0227653388002305,0.140943077418937,0.356925051241847,0.329822222894765,0.360676058369223,0.360168065767508,0.20924810220941,0.318799422777465,0.222384015816123,0.281394221918452,0.170406590861022,0.149142899017476,0.386793038049542,0.164649261130822,0.350682203170827,0.215567236048965,0.0294046244108847,0.0411704645473433,0.276849606820034,0.133726788919563
"Dtrenchii",0.196941069719688,0.198765487057555,0.126379020338324,0.0800926163659466,0.247256446209859,0.161733626965632,0.0449067092727015,0.0638373009263411,0.252505656759627,0.0530568587775831,0.0456312081991058,0.208138551477189,0.0951823264659946,0.0593910383649828,0.0823343335940898,0.0622982173162485,0.0393311234269613,0.184829941922182,0.0819847477314343,0.138029919984115,0.0983327655270336,0.195270875927847,0.0966044783831673,0.0543485722840395,0.119819852106703,0.0389397769982187,0.0972275808851899,0.210403611144498,0.232523094758871,0.102916735874072,0.255599613017449
"SMicReefgen",0.113673245027194,0.109353551602995,0.026993715878946,0.198066983695674,0.0851808898820468,0.157144554086539,0.227192294524234,0.210917981011928,0.0510813043547943,0.22258983629704,0.22302253007313,0.0282511525332085,0.0834082871549719,0.2149092117276,0.200437254965173,0.212125803375141,0.216017262451346,0.134845275220917,0.198871677039427,0.139576711506834,0.170538682421352,0.11158940063854,0.0930982842948435,0.212564793731168,0.10112861221613,0.200079929475705,0.135410100564706,0.0317861586060384,0.0373646634182377,0.168990233647478,0.0962251706607045
"SGoreauC",0.0902295805761192,0.0928683765520597,0.361097360352621,0.0286802631766281,0.117294551684844,0.0529691814273298,0.0087704371085134,0.022043844251688,0.153406731580381,0.0117606371640333,0.013389051063015,0.18582721105486,0.279756963158236,0.0150693395251954,0.0277636507302605,0.02198245558313,0.0113990357166891,0.0693593511891563,0.0327230143392628,0.0933010257745828,0.0660080113589474,0.0939560273544904,0.233924776541194,0.0231301317007284,0.199654457704667,0.0616454261485858,0.138827396491509,0.184671579907556,0.175742414364495,0.0603043029151634,0.107351793730603
"syma",0.0976032921099445,0.0906138841848306,0.0296743810619962,0.109013634742847,0.101612714217019,0.0906508535931928,0.112608026239426,0.116572601827057,0.0389591562285549,0.110708504686496,0.12772774454048,0.0423629354463175,0.0528688593730161,0.130784045483149,0.120453018776436,0.118732128739176,0.154105150731679,0.0936303118085272,0.139771038442615,0.12291740708819,0.131393904511203,0.0878465892495644,0.156516053145334,0.108501119493412,0.10964472159505,0.144374617368573,0.140924874607287,0.0451257747746816,0.0388812640700673,0.121800775057422,0.0787903996137172
"symb",0.055353042064158,0.054552678101543,0.230453235746423,0.0134898098161894,0.0526413195889619,0.0230368040226599,0.00734998775509707,0.0119372125203398,0.132117937428152,0.00766070017942327,0.00778458199945581,0.211880097136736,0.160894260505448,0.00850714625037247,0.0124241991608863,0.0108109592945149,0.00797346375688425,0.030592997636313,0.0128245608695873,0.02900342020786,0.0222364937925722,0.0515162807561764,0.0263716152355971,0.0119864784053981,0.0307150366149399,0.00909434371567236,0.0221412716148978,0.214045161593304,0.17562360757734,0.0316657051341903,0.0510062071161402
"SPilosum",0.0824785294509009,0.0968117562904118,0.030278217655505,0.0615562256175371,0.0884289472301805,0.0693086736895719,0.047519970563497,0.048940409230099,0.0670123858631275,0.0588967903558751,0.0517744909990561,0.0302665585267753,0.0327538581610283,0.0539664950195685,0.0633651263177355,0.0541127399180551,0.0491313418126008,0.076149407662875,0.0453034729724932,0.0794331404760089,0.0642887220972578,0.0894097029882464,0.0815331049734969,0.0467077299221111,0.0897379612705922,0.0497564626038519,0.0699894274275578,0.0405354312909077,0.05344000427989,0.0642945807898588,0.0823007092347472
"Stri",0.0445582328035521,0.0479849521629284,0.0118355929029087,0.068568040858957,0.0345519272965317,0.0593887560023279,0.0756936036932089,0.0753509013568399,0.0257573792848224,0.0771315954382806,0.0840287412115247,0.0144979968109767,0.0311796059308377,0.0853732491377185,0.0781374491179569,0.076352292714835,0.0922494806285859,0.0592752303533264,0.0815085898625926,0.0587234005815936,0.0650896463871649,0.0489862925399591,0.0366835086743542,0.0717542755384693,0.0427373400709601,0.0702032669171318,0.0620615013052868,0.0157235382657305,0.0199332177800973,0.0680037701246126,0.0459922288585414
"SKawaF",0.0465502519607174,0.0386855522835501,0.038012469764207,0.0108923731472048,0.0383891445866384,0.0303425738631362,0.0037624139556966,0.00933628233545593,0.0909627345934345,0.00521298531108636,0.00460813393753926,0.119035064280968,0.0283041316795842,0.00564064923158649,0.0107734728478878,0.00758415319731932,0.00444694813666686,0.0285982534193256,0.00798372820832763,0.0277530371071689,0.0193184631564246,0.0385395159584647,0.0416853782687368,0.0101775887923284,0.0423490903009234,0.0103362352052215,0.0298647612653014,0.102798382276037,0.100035599351073,0.0204015241682089,0.036986836994972
"Snat",0.0501508130845756,0.0668051153864683,0.0184217421619944,0.0256270713145698,0.0626635040065301,0.0517403012038411,0.0190656996916234,0.0262991838460454,0.0581112760746386,0.0190049283808661,0.0204379709161513,0.027669467111522,0.0143458506955389,0.0230186089064185,0.0266846586404568,0.0255693694637184,0.0193931223719372,0.0662162608453601,0.0265418384892798,0.0422439556423358,0.0366880458082141,0.0658602664947779,0.0321983611455071,0.0278446588129813,0.0467900703628045,0.0189457607895693,0.0355458904761666,0.0315394087395619,0.0378248085076473,0.0385602369792614,0.0698632964895154
