Species,Colony,depth,Site,File,DATE,TIME,PAR,Depth(m),T(C),Battery_V,Dark_Fo,Fm,Fv,Fv/Fm,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,GAIN,Light_Fo,Fm.1,Fv.1,Fv/Fm.1,Sigma.1,p.1,Alp1.1,Tau1.1,Alp2.1,Tau2.1,Alp3.1,Tau3.1,Alp4.1,Tau4.1,TauAv1.1,TauAv2.1,Pmax.e.s
Porites astreoides ,1,40,MF,20221128.001,28/11/2022,32980,339.6,0.4,26.7,15.58,145.4,248.6,103.2,0.415,291.7,0.19,0.66,509,0.15,2911,0.19,105514,--------,-------,945,21075,400,282.8,318.4,35.6,0.112,437,0.01,0.267,645,0.633,18354,0.1,29697,--------,-------,13108,14766,76.3
Porites astreoides ,1,40,MF,20221128.002,28/11/2022,32990,320.8,0.4,26.7,15.58,213.3,368.3,155,0.421,355.8,0.18,0.58,438,0.23,2548,0.2,91865,--------,-------,1037,18862,300,374.4,432.5,58.2,0.135,448.7,0.06,0.29,695,0.644,20868,0.066,21299,--------,-------,14602,15043,68.5
Porites astreoides ,1,40,MF,20221128.003,28/11/2022,33007,238.3,0.5,26.8,15.58,264.6,449.1,184.5,0.411,350.5,0.19,0.6,452,0.21,2076,0.19,76389,--------,-------,867,15260,200,457.7,524.1,66.4,0.127,444.5,0,0.313,749,0.601,19854,0.086,26428,--------,-------,13319,14450,75.1
Porites astreoides ,2,40,MF,20221128.004,28/11/2022,33028,281.5,0.5,26.8,15.57,169.8,270.7,100.9,0.373,348.2,0.17,0.5,467,0.31,3704,0.2,63971,--------,-------,1708,13885,400,224.5,255.9,31.4,0.123,362.1,0,0.358,825,0.589,17399,0.053,17542,--------,-------,11141,11482,89.8
Porites astreoides ,2,40,MF,20221128.005,28/11/2022,33037,290.1,0.5,26.8,15.56,155.8,245.1,89.3,0.364,335.1,0.17,0.58,510,0.24,4588,0.18,103461,--------,-------,1715,19984,500,229.6,259.1,29.5,0.114,384.1,0,0.347,785,0.596,18384,0.056,18452,--------,-------,11909,12279,84
Porites astreoides ,2,40,MF,20221128.006,28/11/2022,33049,304.5,0.5,26.7,15.55,122.3,195.4,73.1,0.374,310.2,0.19,0.61,472,0.19,3385,0.2,97149,--------,-------,1153,20809,600,196.9,223.8,26.9,0.12,383.6,0,0.386,778,0.517,17638,0.097,17715,--------,-------,10431,11135,95.9
Porites astreoides ,4,40,MF,20221128.007,28/11/2022,33077,242.9,0.6,28.2,15.54,207,353.7,146.7,0.415,328.7,0.2,0.6,435,0.22,2042,0.19,96704,--------,-------,864,18613,300,352.8,404.7,51.9,0.128,407.1,0,0.304,786,0.62,19504,0.077,19589,--------,-------,13350,13829,74.9
Porites astreoides ,4,40,MF,20221128.008,28/11/2022,33089,227.7,0.6,28.2,15.54,215.1,366.4,151.3,0.413,333.1,0.18,0.62,503,0.18,2136,0.2,90608,--------,-------,869,18758,300,357.8,409.1,51.3,0.125,389.8,0,0.298,788,0.649,20282,0.053,22634,--------,-------,14148,14602,70.7
Porites astreoides ,4,40,MF,20221128.009,28/11/2022,33103,237.2,0.6,28.3,15.52,201.7,348.3,146.6,0.421,324.2,0.19,0.65,514,0.16,2837,0.19,90333,--------,-------,960,18035,400,344.6,395.3,50.7,0.128,399.2,0,0.354,640,0.579,19021,0.068,22388,--------,-------,12046,12745,83
Porites astreoides ,7,40,MF,20221128.010,28/11/2022,33117,274.9,0.6,28.3,15.53,288.8,519.1,230.3,0.444,447.6,0.22,0.57,465,0.23,2094,0.2,61795,--------,-------,936,13251,200,502.6,595.8,93.3,0.157,439.3,0.17,0.318,654,0.626,20724,0.056,20974,--------,-------,13953,14346,71.7
