size,sample,condition,site,band,rest
1.651,26,DD,MF,0.926,0.725
2.162,26,SD,CC,1.456,0.706
2.468,27,SD,CC,1.711,0.757
2.575,27,DD,MF,1.176,1.399
2.002,28,DD,MF,1.038,0.964
2.341,28,SD,CC,1.298,1.043
1.952,29,SD,CC,0.911,1.041
1.487,29,DD,MF,0.759,0.728
2.873,30,DD,MF,1.25,1.623
2.31,31,DD,MF,0.981,1.329
1.919,35,SS,CC,1.074,0.845
2.196,36,SS,CC,1.267,0.929
2.257,37,SS,CC,1.228,1.029
2.396,38,SS,CC,0.97,1.426
2.944,39,SS,CC,1.167,1.777
2.486,40,SD,MF,1.327,1.159
2.56,41,SD,MF,1.224,1.336
2.302,42,SD,MF,0.98,1.322
2.153,43,SD,MF,0.959,1.194
2.341,44,SD,MF,0.967,1.374
2.27,45,SD,MF,0.853,1.417
1.844,46,SD,MF,0.737,1.107
1.845,47,SD,MF,0.901,0.944
2.148,48,SD,MF,0.885,1.263
1.963,49,SD,MF,0.794,1.169
1.977,50,DD,MF,0.902,1.075
2.223,50,DS,MF,1.239,0.984
3.103,52,DS,MF,1.814,1.289
3.266,61,SS,MF,1.971,1.295
2.742,62,SS,MF,1.646,1.096
3.218,63,SS,MF,1.543,1.675
2.886,64,SS,MF,1.655,1.231
3.018,65,SS,MF,1.566,1.452
3.235,67,SS,MF,1.681,1.554
2.065,71,SD,CC,1.41,0.655
2.347,72,SD,CC,1.253,1.094
2.217,73,SD,CC,1.176,1.041
2.21,74,SD,CC,1.35,0.86
2.358,75,SS,CC,1.283,1.075
2.938,76,SS,CC,1.5,1.438
2.872,77,SS,CC,1.707,1.165
2.983,78,SS,CC,1.586,1.397
2.726,79,SS,CC,1.351,1.375
2.052,80,DD,CC,0.638,1.414
1.991,81,DD,CC,0.992,0.999
2.219,82,DD,CC,1.009,1.21
2.202,83,DD,CC,1.245,0.957
2.193,84,DD,CC,0.98,1.213
2.587,85,DS,CC,1.314,1.273
2.104,86,DS,CC,1.03,1.074
2.341,89,DS,CC,1.115,1.226
2.158,90,DD,CC,0.931,1.227
2.491,91,DD,CC,0.837,1.654
1.579,92,DD,CC,1.013,0.566
1.736,93,DD,CC,0.74,0.996
1.689,94,DD,CC,0.767,0.922
2.217,95,DS,CC,0.753,1.464
2.234,96,DS,CC,1.001,1.233
2.008,97,DS,CC,1.193,0.815
2.435,98,DS,CC,1.28,1.155
1.814,99,DS,CC,0.806,1.008
