,coral_vol_um3,total_pore_vol_um3,closed_pore_vol_um3,open_pore_vol_um3,total_vol_um3,coral_to_total_vol_perc,total_porosity_perc,closed_to_all_pores_perc,mean_thickness_um,sd_thickness_um,min_thickness_um,max_thickness_um
40_SD,85585025250,54960508125,31478625,54929029500,-1188387393,-7201.778288,-4624.797305,-0.020871437,177.36,44.247,30,426.38
63_SS,22334767875,17311957875,205875,17311752000,992020086,2251.44311,1745.121709,0.001189207,166.756,47.407,30,417.851
48_SD,90840507750,76454469000,1461375,76453007625,-208747794,-43516.87077,-36625.28237,0.001911432,161.984,41.937,30,301.496
30_DD,71680271625,69083661375,5511375,69078150000,-969987768,-7389.811912,-7122.116758,0.007977827,150.97,39.616,30,335.41
27_DD,45797305500,32340782250,577125,32340205125,828676422,5526.560704,3902.703322,0.001784512,169.238,43.239,30,351.461
27_DD,44153670375,37976688000,3715875,37972972125,525979751,8394.55707,7220.180611,0.009784621,152.515,41.07,30,412.431
61_SS,80320305375,55560151125,1350000,55558801125,-1558496972,-5153.703011,-3564.982937,0.002429799,172.418,43.988,30,328.88
50_DS,1.43358E+11,1.34875E+11,1994625,1.34873E+11,-939895865,-15252.51296,-14350.01948,0.001478867,139.62,31.414,30,300
29_DD,72916449750,47912978250,5275125,47907703125,570343712,12784.65042,8400.719994,0.011009804,169.513,49.811,30,454.972
52_DS,44335498500,32343674625,-718601381,14182384500,-630238203,-7034.720886,-5131.976207,0.035688769,161.624,39.924,30,339.411
52_DS,51531720750,34503995250,523125,34503472125,136370080,37788.14293,25301.73426,0.001516129,172.008,43.022,30,331.36
46_SD,49135963500,37477613250,27752625,37449860625,714230830,6879.563502,5247.269045,-0.040549669,153.406,41.863,30,336.749
46_SD,56201438250,47189948625,-605163269,12334464000,312171771,18003.36977,15116.66108,-0.008196338,149.751,40.17,30,416.773
65_SS,62862459750,36317342250,2602125,36314740125,395554192,15892.24966,9181.382219,0.007164965,192.096,49.067,30,474.341
65_SS,44784653625,26698811625,120956869,20666799000,-1530978782,-2925.230196,-1743.904745,-0.029559929,187.662,46.439,30,342.419
54_DS,43543807875,33843794625,637875,33843156750,78191172,55688.90549,43283.39601,0.001884762,158.268,38.408,30,319.14
54_DS,57760914375,46347184125,985500,46346198625,1028883396,5613.941735,4504.609979,0.002126343,157.374,39.225,30,406.939
