slice,40_SD,63_SS,63b_SS,48_SD,30_DD,27_DD,27b_DD,61_SS,50_DS,29_DD,52_DS,52b_DS,46_SD,46b_SD,65_SS,65b_SS,54_DS,54b_DS
1,146.699,121.177,124.931,122.465,124.708,133.061,138.212,118.543,107.385,125.638,100.113,98.765,104.452,96.095,124.067,128.038,151.58,110.295
2,151.814,124.118,123.944,121.712,132.749,138.693,142.362,126.255,110.053,139.374,106.829,106.455,107.28,97.394,127.273,131.223,154.997,125.326
3,155.306,129.87,125.722,121.233,136.856,144.79,144.971,133.32,112.747,149.847,110.081,114.217,110.078,98.49,132.039,131.192,157.001,133.807
4,157.2,131.046,128.365,120.845,139.911,148.526,146.706,137.187,116.453,152.993,112.602,119.288,108.812,99.887,134.725,129.838,159.367,139.228
5,157.951,131.398,131.957,121.585,140.837,150.635,150.322,139.931,120.618,152.519,114.026,120.841,107.423,101.777,136.87,130.453,159.912,142.988
6,158.612,131.388,135.915,122.41,141.007,151.695,152.88,142.455,125.009,151.468,116.786,124.408,106.755,103.282,137.628,131.297,161.273,144.999
7,157.684,131.105,139.202,122.786,140.027,153.334,153.801,144.99,128.915,150.644,120.237,126.278,106.498,105.69,137.736,131.971,160.905,145.924
8,156.227,130.159,141.65,123.025,139.194,154.47,153.685,146.387,132.031,148.479,122.84,129.327,107.32,106.929,136.879,133.065,162.071,145.832
9,154.237,129.405,142.088,123.876,138.966,154.853,154.366,147.188,133.879,145.54,125.655,132.517,109.078,108.315,137.311,133.732,162.388,145.759
10,152.444,129.355,140.289,125.975,138.862,155.74,154.904,147.891,135.275,145.074,128.969,136.105,110.588,109.702,138.408,135,162.723,145.934
11,150.728,129.854,139.34,128.272,140.231,157.209,155.24,148.052,136.804,145.278,131.52,137.328,112.032,110.763,141.571,136.285,163.504,146.523
12,150.162,130.235,138.834,130.108,142.257,159.405,155.642,148.021,138.383,145.708,133.047,139.602,113.643,111.554,145.073,137.494,163.883,147.511
13,149.673,130.605,137.989,131.138,143.387,162.438,156.357,148.898,139.133,147.071,135.702,141.223,114.864,112.91,149.022,138.198,163.985,148.603
14,148.62,131.523,137.413,131.803,144.818,164.829,157.684,150.288,140.06,148.536,137.077,142.684,116.081,113.657,149.952,138.701,163.983,149.326
15,147.7,131.774,136.935,132.842,146.292,166.849,158.387,151.674,141.718,150.977,138.22,143.632,117.411,113.861,149.965,140.21,163.268,149.974
16,147.802,131.833,137.225,134.167,147.19,169.168,158.292,153.339,144.083,153.137,138.935,143.791,119.025,114.779,151.138,141.725,162.373,150.83
17,148.111,132.614,137.596,136.074,147.618,171.168,156.731,153.706,146.133,155.442,138.544,144.036,119.875,115.684,152.158,144.084,161.552,151.665
18,147.87,134.248,137.589,137.996,147.811,173.113,154.733,153.606,147.242,156.555,138.856,144.54,120.707,116.79,153.913,146.747,161.113,152.892
19,148.258,136.878,138.295,139.766,147.816,175.229,152.751,153.495,147.99,157.164,141.047,144.82,120.222,117.097,155.872,150.122,161.662,154.236
