slice,40_SD,63_SS,48_SD,30_DD,27_DD,271_DD,61_SS,50_DS,29_DD,52_DS,521_DS,46_SD,461_SD,651_SS,65_SS,541_DS,54_DS
1,131.647,97.603,65.889,55.999,80.578,125.38,73.549,74.915,66.304,89.123,86.19,60.021,88.1,42.363,62.943,48.965,59.656
2,136.929,99.619,87.342,73.625,86.014,127.129,77.884,80.733,74.887,94.743,93.816,85.601,87.88,90.224,97.269,73.587,70.753
3,139.452,102.921,98.547,78.946,87.049,127.731,80.951,83.206,92.192,98.908,100.255,104.197,88.656,100.786,105.018,80.284,83.094
4,142.141,103.012,106.052,80.643,88.443,130.159,83.441,85.337,101.716,103.692,104.387,115.944,87.437,109.724,111.144,87.954,85.952
5,143.172,105.445,107.047,86.829,90.65,134.321,86.707,89.473,110.542,100.247,105.367,116.672,90.061,112.412,116.399,94.355,89.166
6,143.414,109.686,106.99,91.95,95.244,137.637,93.691,94.277,119.736,101.496,108.495,111.285,91.021,113.021,117.438,102.645,96.975
7,142.26,115.231,106.486,98.004,100.538,138.898,101.206,98.631,127.097,102.356,109.884,103.025,93.344,114.755,116.397,106.948,106.348
8,140.828,118.553,107.871,103.132,108.515,139.56,109.855,102.746,132.599,100.862,112.75,92.051,94.623,114.274,117.379,117.386,115.973
9,139.515,122.546,107.876,109.558,112.675,140.553,116.275,106.82,135.904,100.978,116.438,83.427,97.596,114.672,117.211,123.538,122.738
10,137.774,127.622,108.133,116.909,118.259,141.197,121.6,110.833,135.096,100.222,120.567,78.934,98.902,114.823,117.943,130.974,125.63
11,136.361,129.816,107.998,122.31,122.484,141.823,125.445,113.889,133.896,98.436,122.603,75.956,100.17,117.707,119.933,138.603,130.23
12,135.716,129.076,108.815,126.062,128.328,141.86,128.097,116.855,132.905,98.901,124.989,80.976,100.566,119.366,122.403,141.389,131.184
13,135.371,125.678,111.609,126.278,131.431,142.269,130.106,120.217,130.532,101.36,127.122,85.483,101.893,121.173,124.008,142.848,130.972
14,134.25,124.209,114.906,126.513,134.229,143.291,131.712,121.977,130.002,101.658,128.88,87.289,102.927,123.169,125.191,145.263,131.068
15,133.132,121.937,116.914,125.679,135.802,144.177,132.925,123.941,129.756,102.411,130.162,90.819,102.727,123.211,126.088,145.871,131.726
16,132.947,119.951,118.137,124.205,138.527,143.974,134.141,125.191,129.921,106.346,130.197,90.471,103.247,123.975,125.692,146.83,132.428
17,133.404,120.085,118.726,124.701,139.901,142.433,133.931,125.47,131.599,109.147,130.581,90.084,104.431,123.319,126.299,146.988,134.07
18,133.188,122.341,120.12,125.248,140.604,140.956,133.469,126.383,132.84,113.093,130.975,89.349,105.173,124.393,127.782,147.448,135.231
19,133.936,122.386,121.615,127.441,141.772,139.331,134.283,128.15,135.204,117.2,130.922,92.061,105.797,125.229,129.152,147.509,136.443
20,134.473,121.076,123.568,129.881,143.327,138.285,135.99,130.791,137.311,119.045,131.901,94.344,106.547,128.104,131.094,148.623,137.307
21,135.168,116.131,125.451,131.025,144.964,138.726,137.677,132.881,139.773,120.584,133.522,96.8,106.791,130.992,133.237,149.922,137.881
