sample,BV (um3),TV (um3),BV/TV,porosity 
38_SS,3.55E+11,7.18E+11,0.494947258,0.505052742
90_DD,8.10E+10,1.61E+11,0.50309496,0.49690504
96_DS,1.96E+10,4.27E+10,0.458685768,0.541314232
96_DS,9.67E+10,2.18E+11,0.444057432,0.555942568
90_DD,1.49E+11,3.10E+11,0.480932638,0.519067362
70_SD,9.96E+10,1.84E+11,0.541680548,0.458319452
86_DS,1.18E+11,2.96E+11,0.399108454,0.600891546
95_DS,8.42E+10,1.69E+11,0.498564479,0.501435521
25_SD,1.17E+11,2.29E+11,0.509364744,0.490635256
83_DD,1.04E+11,2.06E+11,0.505109345,0.494890655
94_DD,7.57E+10,1.73E+11,0.436642446,0.563357554
39_SS,9.52E+10,2.03E+11,0.469559218,0.530440782
35_SS,1.10E+11,2.05E+11,0.537736092,0.462263908
