slice,38_SS,90_DD,96_DS,70_SD,86_DS,95_DS,25_SD,83_DD,94_DD,39_SS,35_SS
1,121.736,111.565,105.699,111.999,86.554,112.209,174.465,109.751,103.158,127.125,155.435
2,125.391,114.158,109.362,116.85,94.161,115.921,176.93,113.218,108.584,128.5,156.308
3,130.091,117.166,112.957,118.933,101.052,121.009,178.347,114.589,111.42,128.306,155.816
4,132.645,120.091,115.729,119.213,105.703,125.381,179.023,114.97,115.594,127.692,155.144
5,134.932,122.736,116.099,119.868,109.105,131.193,178.219,116.507,119.827,126.175,154.466
6,136.046,125.009,117.057,120.716,111.349,136.716,176.408,117.838,122.178,125.631,154.037
7,136.454,127.741,116.204,122.239,114.024,142.16,173.327,120.208,121.727,124.916,153.128
8,137.343,132.111,117.407,124.258,117.625,146.241,170.968,124.263,125.283,123.927,152.777
9,137.843,135.261,120.492,126.743,121.478,148.56,168.05,126.452,131.626,123.195,152.794
10,138.62,137.811,123.145,128.723,124.748,149.778,166.604,127.037,137.685,123.419,153.012
11,139.436,141.165,124.399,129.316,126.972,152.382,165.355,127.384,142.937,124.216,154.436
12,141.376,144.184,124.251,129.903,129.302,155.13,163.224,127.201,145.072,125.331,156.211
13,143.576,145.484,123.457,131.277,131.88,157.088,161.254,126.719,145.776,126.853,157.497
14,146.069,146.61,123.537,132.906,134.052,158.58,160.352,126.689,147.413,128.527,159.182
15,148.863,147.572,123.616,135.162,136.84,159.803,159.667,127.413,149.668,129.188,159.962
16,151.58,148.713,122.683,136.211,140.39,160.603,159.243,128.876,152.626,130.28,160.71
17,153.26,149.692,122.966,137.377,142.403,161.812,158.838,130.68,155.145,131.855,161.787
18,154.611,149.924,124.979,139.074,144.559,163.777,158.805,131.92,157.753,133.54,162.916
19,155.892,150.079,127.391,140.613,146.933,165.444,158.2,133.09,159.803,136.271,163.572
20,157.48,150.361,130.291,141.021,149.101,167.708,158.192,134.426,162.62,138.608,164.087
21,159.451,151.056,132.429,141.451,150.376,170.064,157.81,135.491,165.419,140.072,164.398
22,161.416,152.219,134.352,142.086,152.08,172.273,157.908,136.438,168.805,140.547,164.849
23,162.581,153.344,136.179,141.889,154.801,174.021,158.151,137.945,171.588,141.823,165.208
24,162.117,154.252,136.796,141.314,157.842,175.08,158.263,139.168,172.997,142.422,166.05
25,161.51,155.317,137.319,140.442,160.657,176.302,158.33,140.253,174.261,142.581,167.119
26,161.604,156.273,138.12,140.085,163.315,177.786,158.346,141.296,175.266,142.866,168.479
27,162.367,157.358,139.505,139.335,165.435,178.736,158.05,141.906,175.767,143.517,169.641
28,163.268,158.154,140.286,139.319,166.999,180.121,158.044,142.173,176.331,144.066,170.806
29,163.435,159.387,141.113,139.308,168.496,181.296,157.898,142.779,177.942,144.2,171.659
30,163.691,160.279,142.114,140.091,169.451,182.556,157.697,143.296,179.242,144.058,172.612
31,163.517,161.539,143.682,140.276,169.733,184.291,157.291,143.992,180.534,144.289,173.952
32,163.777,163.09,145.594,140.469,168.786,185.96,157.582,145.163,180.689,144.811,175.507
33,164.446,164.287,146.804,141.231,168.551,187.171,158.196,146.329,180.072,145.461,176.796
34,165.073,165.346,147.583,141.993,168.888,188.538,159.041,147.481,179.639,145.68,177.874
35,165.736,166.133,149.126,143.985,169.491,189.887,159.673,148.421,178.974,145.436,178.19
36,166.404,167.187,151.111,145.658,170.123,190.458,160.301,149.248,178.722,145.247,178.966
37,166.967,168.717,152.281,147.52,170.316,191.314,160.618,150.181,177.976,145.337,179.803
38,167.66,170.055,152.839,149.076,169.607,192.09,161.121,151.352,176.405,145.903,180.344
39,167.781,171.238,153.85,150.518,168.925,193.134,161.939,152.209,175.047,146.583,180.996
40,167.526,172.041,155.5,151.1,168.978,193.858,162.845,152.89,174.226,146.866,181.707
41,166.891,173.363,157.058,151.322,168.529,194.418,163.446,153.747,173.476,146.901,182.296
42,166.623,174.894,158.303,151.596,168.118,194.593,163.454,154.607,173.29,146.907,182.98
43,166.32,176.043,160.349,151.616,167.812,194.671,163.042,155.359,173.224,147.045,183.904
44,166.237,177.361,162.408,151.651,167.531,194.989,162.86,156.161,173.185,147.204,184.877
45,166.259,178.412,164.03,150.98,167.237,195.393,163.058,156.633,173.735,147.083,185.948
46,166.186,179.791,165.913,150.928,166.987,196.156,163.288,156.914,173.805,146.891,186.483
47,166.013,181.678,167.996,150.877,166.533,196.489,163.595,157.071,173.313,147.103,187.156
48,166.144,183.324,169.536,150.231,166.084,196.424,163.752,157.416,172.948,147.4,187.983
49,166.326,184.981,169.731,150.055,165.783,196.781,163.978,158.107,173.031,148.137,189.035
50,166.318,186.457,170.275,150.283,165.013,197.353,164.364,158.428,173.1,148.824,190.137
51,166.304,187.136,170.629,150.553,164.298,197.454,164.735,159.062,173.203,149.302,190.757
52,166.436,187.435,171.727,151.122,163.697,197.396,165.128,159.499,173.371,149.748,191.238
53,166.664,187.927,173.21,152.354,163.187,197.221,165.297,159.878,173.641,151.065,191.794
54,167.206,188.846,175.356,153.508,162.139,196.609,165.195,160.182,173.821,151.372,191.939
55,167.617,189.089,177.771,154.777,161.099,195.601,165.1,160.652,173.832,151.347,191.972
56,167.873,190.08,179.153,156.868,160,194.584,164.981,161.678,173.745,151.434,192.154
57,168.025,191.329,179.844,159.025,159.448,193.545,164.976,162.277,173.575,151.543,192.299
