slice,38_SS.1,90_DD.1,96_DS.1,70_SD.1,86_DS.1,95_DS.1,25_SD.1,83_DD.1,94_DD.1,39_SS.1,35_SS.1,40_SD,63_SS,63b_SS,48_SD,30_DD,27_DD,27b_DD,61_SS,50_DS,29_DD,52_DS,52b_DS,46_SD,46b_SD,65_SS,65b_SS,54_DS,54b_DS
1,121.736,158.633,105.699,101.546,126.103,112.209,114.03,109.751,103.158,138.509,155.435,146.699,121.177,124.931,122.465,124.708,133.061,138.212,118.543,107.385,125.638,100.113,98.765,104.452,96.095,124.067,128.038,151.58,110.295
2,125.391,161.583,109.362,105.894,127.412,115.921,116.658,113.218,108.584,143.217,156.308,151.814,124.118,123.944,121.712,132.749,138.693,142.362,126.255,110.053,139.374,106.829,106.455,107.28,97.394,127.273,131.223,154.997,125.326
3,130.091,162.738,112.957,108.876,126.712,121.009,118.663,114.589,111.42,148.157,155.816,155.306,129.87,125.722,121.233,136.856,144.79,144.971,133.32,112.747,149.847,110.081,114.217,110.078,98.49,132.039,131.192,157.001,133.807
4,132.645,164.004,115.729,111.203,126.096,125.381,120.164,114.97,115.594,151.254,155.144,157.2,131.046,128.365,120.845,139.911,148.526,146.706,137.187,116.453,152.993,112.602,119.288,108.812,99.887,134.725,129.838,159.367,139.228
5,134.932,163.245,116.099,113.553,127.116,131.193,122.185,116.507,119.827,152.045,154.466,157.951,131.398,131.957,121.585,140.837,150.635,150.322,139.931,120.618,152.519,114.026,120.841,107.423,101.777,136.87,130.453,159.912,142.988
6,136.046,162.869,117.057,116.179,126.919,136.716,123.834,117.838,122.178,151.488,154.037,158.612,131.388,135.915,122.41,141.007,151.695,152.88,142.455,125.009,151.468,116.786,124.408,106.755,103.282,137.628,131.297,161.273,144.999
7,136.454,162.606,116.204,119.029,126.499,142.16,125.364,120.208,121.727,150.759,153.128,157.684,131.105,139.202,122.786,140.027,153.334,153.801,144.99,128.915,150.644,120.237,126.278,106.498,105.69,137.736,131.971,160.905,145.924
8,137.343,161.851,117.407,121.678,127.29,146.241,127.042,124.263,125.283,149.853,152.777,156.227,130.159,141.65,123.025,139.194,154.47,153.685,146.387,132.031,148.479,122.84,129.327,107.32,106.929,136.879,133.065,162.071,145.832
9,137.843,161.427,120.492,124.274,128.705,148.56,128.84,126.452,131.626,149.075,152.794,154.237,129.405,142.088,123.876,138.966,154.853,154.366,147.188,133.879,145.54,125.655,132.517,109.078,108.315,137.311,133.732,162.388,145.759
10,138.62,161.203,123.145,126.18,130.516,149.778,130.524,127.037,137.685,149.031,153.012,152.444,129.355,140.289,125.975,138.862,155.74,154.904,147.891,135.275,145.074,128.969,136.105,110.588,109.702,138.408,135,162.723,145.934
11,139.436,161.768,124.399,127.195,132.104,152.382,132.645,127.384,142.937,148.98,154.436,150.728,129.854,139.34,128.272,140.231,157.209,155.24,148.052,136.804,145.278,131.52,137.328,112.032,110.763,141.571,136.285,163.504,146.523
12,141.376,162.682,124.251,129.18,133.287,155.13,133.41,127.201,145.072,148.69,156.211,150.162,130.235,138.834,130.108,142.257,159.405,155.642,148.021,138.383,145.708,133.047,139.602,113.643,111.554,145.073,137.494,163.883,147.511
13,143.576,163.491,123.457,130.57,134.565,157.088,134.311,126.719,145.776,148.337,157.497,149.673,130.605,137.989,131.138,143.387,162.438,156.357,148.898,139.133,147.071,135.702,141.223,114.864,112.91,149.022,138.198,163.985,148.603
14,146.069,164.506,123.537,131.941,135.654,158.58,135.387,126.689,147.413,147.487,159.182,148.62,131.523,137.413,131.803,144.818,164.829,157.684,150.288,140.06,148.536,137.077,142.684,116.081,113.657,149.952,138.701,163.983,149.326
15,148.863,165.703,123.616,133.031,137.343,159.803,135.748,127.413,149.668,145.312,159.962,147.7,131.774,136.935,132.842,146.292,166.849,158.387,151.674,141.718,150.977,138.22,143.632,117.411,113.861,149.965,140.21,163.268,149.974
16,151.58,167.333,122.683,133.886,139.536,160.603,136.278,128.876,152.626,142.597,160.71,147.802,131.833,137.225,134.167,147.19,169.168,158.292,153.339,144.083,153.137,138.935,143.791,119.025,114.779,151.138,141.725,162.373,150.83
17,153.26,168.602,122.966,134.612,141.06,161.812,137.409,130.68,155.145,140.298,161.787,148.111,132.614,137.596,136.074,147.618,171.168,156.731,153.706,146.133,155.442,138.544,144.036,119.875,115.684,152.158,144.084,161.552,151.665
18,154.611,169.896,124.979,135.472,142.478,163.777,138.637,131.92,157.753,138.602,162.916,147.87,134.248,137.589,137.996,147.811,173.113,154.733,153.606,147.242,156.555,138.856,144.54,120.707,116.79,153.913,146.747,161.113,152.892
19,155.892,171.153,127.391,135.923,142.967,165.444,139.768,133.09,159.803,137.226,163.572,148.258,136.878,138.295,139.766,147.816,175.229,152.751,153.495,147.99,157.164,141.047,144.82,120.222,117.097,155.872,150.122,161.662,154.236
20,157.48,171.574,130.291,135.9,142.229,167.708,141.058,134.426,162.62,136.798,164.087,148.978,138.745,138.57,140.743,147.891,177.291,151.899,153.418,148.994,158.078,144.523,145.948,119.364,117.845,157.276,152.416,163.103,155.227
21,159.451,171.638,132.429,135.181,141.339,170.064,141.738,135.491,165.419,137.337,164.398,149.716,140.792,139.357,141.748,147.145,177.649,152.473,153.324,149.751,158.808,145.412,147.217,119.437,118.411,157.304,153.093,163.885,155.743
22,161.416,171.48,134.352,135.344,140.505,172.273,142.91,136.438,168.805,138.047,164.849,150.274,142.549,140.281,142.504,146.863,177.9,154.109,153.44,150.504,159.848,145.6,148.766,119.835,119.13,156.629,153.553,165.169,155.66
23,162.581,171.418,136.179,135.751,139.808,174.021,144.565,137.945,171.588,138.653,165.208,150.969,143.37,140.537,143.109,146.39,179.199,156.312,153.577,151.112,161.467,147.147,149.992,120.905,120.005,156.278,154.3,166.907,155.216
24,162.117,171.33,136.796,136.494,139.035,175.08,146.2,139.168,172.997,138.853,166.05,151.816,145.221,140.641,143.377,146.066,180.441,158.958,154.027,151.608,162.562,148.397,151.066,121.727,121.186,155.92,154.634,168.078,155.303
25,161.51,171.821,137.319,137.292,138.732,176.302,147.515,140.253,174.261,139.723,167.119,152.89,147.415,141.898,144.402,146.073,181.323,160.695,154.439,151.71,163.103,150.053,152.197,122.227,122.548,155.207,155.005,168.602,156.127
26,161.604,172.378,138.12,138.262,138.623,177.786,148.88,141.296,175.266,140.4,168.479,154.184,150.543,142.299,145.606,146.1,182.375,161.742,154.703,150.957,163.913,151.166,153.375,122.41,123.344,154.24,155.721,168.496,157.697
27,162.367,172.806,139.505,138.641,139.13,178.736,149.921,141.906,175.767,140.533,169.641,155.588,153.392,142.13,146.878,145.91,183.643,162.704,154.452,149.928,163.933,152.393,154.855,122.225,123.611,153.759,156.186,168.817,158.842
28,163.268,173.034,140.286,138.648,139.995,180.121,150.511,142.173,176.331,140.388,170.806,156.823,155.843,142.853,147.784,145.824,184.62,163.487,154.46,149.56,164.268,152.893,156.18,122.048,124.487,154.025,156.076,168.88,159.45
29,163.435,173.693,141.113,138.335,140.624,181.296,150.868,142.779,177.942,140.21,171.659,158.31,157.603,143.581,148.195,146.345,184.51,164.262,154.915,149.153,164.784,153.107,157.742,121.263,125.591,155.121,155.386,168.464,159.808
30,163.691,174.457,142.114,138.858,141.078,182.556,151.384,143.296,179.242,140.081,172.612,159.517,159.176,143.665,147.908,146.938,184.344,165.014,155.666,148.791,165.508,154.034,159.359,120.915,126.528,156.049,154.689,168.296,160.228
31,163.517,175.243,143.682,139.623,141.675,184.291,152.062,143.992,180.534,139.981,173.952,160.512,159.544,143.842,147.909,147.384,184.667,165.741,156.594,148.847,166.772,155.9,160.978,121.276,126.609,157.077,153.671,168.085,160.821
32,163.777,175.328,145.594,140.606,143.152,185.96,152.233,145.163,180.689,139.267,175.507,161.403,160.038,143.038,147.881,147.671,185.465,165.836,157.183,149.456,167.951,156.983,161.966,121.605,126.326,157.67,151.957,168.23,161.668
